base	base_tr	variation	type	target1	target2	target1_resp	target2_resp	log_odds	derivational	nsyl	vowel	suffix
aglik	aglik	lakom/lakok	nonce word response	aglok	aglom	11	15	-0.2876820724517809	-lik	1	NA	NA
bejzik / bejezik	bejzik / bejezik	cselekszenek/cselekednek	nonce word response	bejzünk	bejezünk	12	14	-0.1431008436406733	-zik	1	NA	ünk
bidem	bidem	hotelban/hotelben	nonce word response	bidemben	bidemban	25	1	-2.5649493574615367	NA	NA	e	ban
bihánylik	bihá¥lik	lakom/lakok	nonce word response	bihánylok	bihánylom	21	5	1.2992829841302609	-lik	2	NA	NA
bingéj	bingéj	hotelban/hotelben	nonce word response	bingéjnek	bingéjnak	23	5	-1.3862943611198906	NA	NA	é	nak
bivégszik	bivégßik	lakom/lakok	nonce word response	bivégszek	bivégszem	7	21	-1.0116009116784799	-szik	2	NA	NA
bivejlik	bivejlik	lakom/lakok	nonce word response	bivejlek	bivejlem	18	8	0.7472144018302211	-lik	2	NA	NA
böjzik	böjzik	lakom/lakok	nonce word response	böjzök	böjzöm	14	12	0.14310084364067324	-zik	1	NA	NA
bölszik	bölßik	lakom/lakok	nonce word response	bölszök	bölszöm	15	11	0.28768207245178085	-szik	1	NA	NA
bötőrzik / bötőrözik	bötőrzik / bötőrözik	cselekszenek/cselekednek	nonce word response	bötőrzünk	bötőrözünk	15	11	0.28768207245178085	-zik	2	NA	ünk
brágaklik	brágaklik	lakom/lakok	nonce word response	brágaklok	brágaklom	12	16	-0.2682639865946794	-lik	2	NA	NA
brágéd	brágéd	hotelban/hotelben	nonce word response	brágédnek	brágédnak	14	14	-0	NA	NA	é	nak
brálamlik / brálamozik	brálamlik / brálamozik	cselekszenek/cselekednek	nonce word response	brálamlanak	brálamoznak	16	10	0.4353180712578455	-lik	2	NA	nek
bralkép	bralkép	hotelban/hotelben	nonce word response	bralképben	bralképban	20	6	-1.0986122886681098	NA	NA	é	ban
branylik / branyozik	bra¥lik / bra¥ozik	cselekszenek/cselekednek	nonce word response	branylanak	branyoznak	16	12	0.26826398659467937	-lik	1	NA	nek
brarlik	brarlik	lakom/lakok	nonce word response	brarlok	brarlom	21	5	1.2992829841302609	-lik	1	NA	NA
brárlik / brározik	brárlik / brározik	cselekszenek/cselekednek	nonce word response	brárlanak	brároznak	14	12	0.14310084364067324	-lik	1	NA	nek
braszenc	braßenc	hotelban/hotelben	nonce word response	braszencnél	braszencnál	18	8	-0.7472144018302211	NA	NA	e	nál
bratárzik / bratározik	bratárzik / bratározik	cselekszenek/cselekednek	nonce word response	bratárzanak	bratároznak	5	21	-1.2992829841302609	-zik	2	NA	nek
bregzik / bregezik	bregzik / bregezik	cselekszenek/cselekednek	nonce word response	bregzünk	bregezünk	16	10	0.4353180712578455	-zik	1	NA	ünk
breslik / bresezik	breslik / bresezik	cselekszenek/cselekednek	nonce word response	breslenek	breseznek	13	13	0	-lik	1	NA	nek
bribaslik / bribasozik	bribaslik / bribasozik	cselekszenek/cselekednek	nonce word response	bribaslanak	bribasoznak	11	15	-0.2876820724517809	-lik	2	NA	nek
bribékszik / bribékedik	bribékßik / bribékedik	cselekszenek/cselekednek	nonce word response	bribékszetek	bribékedtek	12	16	-0.2682639865946794	-szik	2	NA	tek
brigeszt	brigeßt	hotelban/hotelben	nonce word response	brigesztnek	brigesztnak	25	1	-2.5649493574615367	NA	NA	e	nak
brilegzik / brilegezik	brilegzik / brilegezik	cselekszenek/cselekednek	nonce word response	brilegzünk	brilegezünk	15	11	0.28768207245178085	-zik	2	NA	ünk
brindez	brindez	hotelban/hotelben	nonce word response	brindeznek	brindeznak	25	1	-2.5649493574615367	NA	NA	e	nak
briskéd	briskéd	hotelban/hotelben	nonce word response	briskédnél	briskédnál	23	3	-1.791759469228055	NA	NA	é	nál
briváglik / brivágozik	briváglik / brivágozik	cselekszenek/cselekednek	nonce word response	briváglanak	brivágoznak	11	15	-0.2876820724517809	-lik	2	NA	nek
brivaklik / brivakozik	brivaklik / brivakozik	cselekszenek/cselekednek	nonce word response	brivaklotok	brivakoztok	11	15	-0.2876820724517809	-lik	2	NA	tek
brivegzik	brivegzik	lakom/lakok	nonce word response	brivegzek	brivegzem	8	20	-0.8472978603872037	-zik	2	NA	NA
brivepszik / brivepedik	brivepßik / brivepedik	cselekszenek/cselekednek	nonce word response	brivepszünk	brivepedünk	19	7	0.9162907318741551	-szik	2	NA	ünk
brobódzik	brobódzik	lakom/lakok	nonce word response	brobódzok	brobódzom	9	17	-0.587786664902119	-zik	2	NA	NA
bródesz	bródeß	hotelban/hotelben	nonce word response	bródesznek	bródesznak	20	6	-1.0986122886681098	NA	NA	e	nak
brotes	brotes	hotelban/hotelben	nonce word response	brotesben	brotesban	13	13	-0	NA	NA	e	ban
brözlik / brözözik	brözlik / brözözik	cselekszenek/cselekednek	nonce word response	brözlötök	brözöztök	13	13	0	-lik	1	NA	tek
brubzik	brubzik	lakom/lakok	nonce word response	brubzok	brubzom	15	11	0.28768207245178085	-zik	1	NA	NA
brüjlik	brüjlik	lakom/lakok	nonce word response	brüjlök	brüjlöm	18	8	0.7472144018302211	-lik	1	NA	NA
brukész	brukéß	hotelban/hotelben	nonce word response	brukésznél	brukésznál	14	12	-0.14310084364067324	NA	NA	é	nál
brűklik / brűközik	brűklik / brűközik	cselekszenek/cselekednek	nonce word response	brűklötök	brűköztök	14	12	0.14310084364067324	-lik	1	NA	tek
brülöslik / brülösözik	brülöslik / brülösözik	cselekszenek/cselekednek	nonce word response	brülöslünk	brülösözünk	13	13	0	-lik	2	NA	ünk
brürzik / brürözik	brürzik / brürözik	cselekszenek/cselekednek	nonce word response	brürzenek	brüröznek	12	14	-0.1431008436406733	-zik	1	NA	nek
brüszlik / brüszözik	brüßlik / brüßözik	cselekszenek/cselekednek	nonce word response	brüszlötök	brüszöztök	11	15	-0.2876820724517809	-lik	1	NA	tek
büglik	büglik	lakom/lakok	nonce word response	büglök	büglöm	19	7	0.9162907318741551	-lik	1	NA	NA
bügzik / bügözik	bügzik / bügözik	cselekszenek/cselekednek	nonce word response	bügzenek	bügöznek	17	9	0.5877866649021191	-zik	1	NA	nek
buhény	buhé¥	hotelban/hotelben	nonce word response	buhényben	buhényban	6	20	1.0986122886681098	NA	NA	é	ban
bupéz	bupéz	hotelban/hotelben	nonce word response	bupézben	bupézban	11	15	0.2876820724517809	NA	NA	é	ban
