base	cat1_weight	base_tr	variation	type	variant1	variant2	resp1	resp2	log_odds	derivational	nsyl	vowel	suffix	lemma_freq_corrected	stem_vowel	long_cluster	consonants
bidem	0.5235646528752359	bidem	hotelban/hotelben	nonce word response	bidemban	bidemben	1	25	-2.5649493574615367	NA	NA	e	ban	NA	i	FALSE	NA
bingéj	0.6683029164535885	bingéj	hotelban/hotelben	nonce word response	bingéjnak	bingéjnek	5	24	-1.4271163556401458	NA	NA	é	nak	NA	i	TRUE	NA
brágéd	0.6218813713009173	brágéd	hotelban/hotelben	nonce word response	brágédnak	brágédnek	14	15	-0.06453852113757118	NA	NA	é	nak	NA	á	FALSE	NA
bralkép	0.658432235783946	bralkép	hotelban/hotelben	nonce word response	bralképban	bralképben	6	21	-1.1451323043030026	NA	NA	é	ban	NA	a	TRUE	NA
braszenc	0.5228324305151129	braßenc	hotelban/hotelben	nonce word response	braszencnál	braszencnél	8	18	-0.7472144018302211	NA	NA	e	nál	NA	a	FALSE	NA
brigeszt	0.31664867027117016	brigeßt	hotelban/hotelben	nonce word response	brigesztnak	brigesztnek	1	26	-2.6026896854443837	NA	NA	e	nak	NA	i	FALSE	NA
brindez	0.37718828740588867	brindez	hotelban/hotelben	nonce word response	brindeznak	brindeznek	1	25	-2.5649493574615367	NA	NA	e	nak	NA	i	TRUE	NA
briskéd	0.6267596994161688	briskéd	hotelban/hotelben	nonce word response	briskédnál	briskédnél	3	23	-1.791759469228055	NA	NA	é	nál	NA	i	TRUE	NA
bródesz	0.3567876071511734	bródeß	hotelban/hotelben	nonce word response	bródesznak	bródesznek	6	20	-1.0986122886681098	NA	NA	e	nak	NA	ó	FALSE	NA
brotes	0.42441918971435344	brotes	hotelban/hotelben	nonce word response	brotesban	brotesben	13	13	0	NA	NA	e	ban	NA	o	FALSE	NA
brukész	0.5907073974136763	brukéß	hotelban/hotelben	nonce word response	brukésznál	brukésznél	12	14	-0.1431008436406733	NA	NA	é	nál	NA	u	FALSE	NA
buhény	0.7586719486488879	buhé¥	hotelban/hotelben	nonce word response	buhényban	buhényben	21	6	1.1451323043030026	NA	NA	é	ban	NA	u	FALSE	NA
bupéz	0.7074144068220557	bupéz	hotelban/hotelben	nonce word response	bupézban	bupézben	15	11	0.28768207245178085	NA	NA	é	ban	NA	u	FALSE	NA
cságyelt	0.3120522339339198	çá©elt	hotelban/hotelben	nonce word response	cságyeltban	cságyeltben	9	20	-0.7419373447293773	NA	NA	e	ban	NA	á	FALSE	NA
csartény	0.6982933132994518	çarté¥	hotelban/hotelben	nonce word response	csarténynak	csarténynek	16	11	0.3483066942682158	NA	NA	é	nak	NA	a	TRUE	NA
csimen	0.5439384765745509	çimen	hotelban/hotelben	nonce word response	csimennál	csimennél	1	28	-2.6741486494265287	NA	NA	e	nál	NA	i	FALSE	NA
csinték	0.7206348947146405	çinték	hotelban/hotelben	nonce word response	csintékban	csintékben	4	25	-1.6486586255873816	NA	NA	é	ban	NA	i	TRUE	NA
csodeg	0.4360308573868282	çodeg	hotelban/hotelben	nonce word response	csodegnál	csodegnél	10	16	-0.4353180712578455	NA	NA	e	nál	NA	o	FALSE	NA
csublény	0.6194044808076501	çublé¥	hotelban/hotelben	nonce word response	csublényban	csublényben	17	10	0.49247648509779424	NA	NA	é	ban	NA	u	TRUE	NA
dábegy	0.3405068949124292	dábe©	hotelban/hotelben	nonce word response	dábegyban	dábegyben	4	23	-1.5686159179138452	NA	NA	e	ban	NA	á	FALSE	NA
dajrens	0.47568095099578966	dajrens	hotelban/hotelben	nonce word response	dajrensnál	dajrensnél	4	23	-1.5686159179138452	NA	NA	e	nál	NA	a	TRUE	NA
dalenc	0.5941413496987981	dalenc	hotelban/hotelben	nonce word response	dalencnál	dalencnél	9	17	-0.587786664902119	NA	NA	e	nál	NA	a	FALSE	NA
danét	0.6715934528305649	danét	hotelban/hotelben	nonce word response	danétnál	danétnél	19	7	0.9162907318741552	NA	NA	é	nál	NA	a	FALSE	NA
darhén	0.7901545152117857	darhén	hotelban/hotelben	nonce word response	darhénban	darhénben	24	3	1.8325814637483104	NA	NA	é	ban	NA	a	TRUE	NA
dibez	0.4336438652779242	dibez	hotelban/hotelben	nonce word response	dibezban	dibezben	2	24	-2.120263536200091	NA	NA	e	ban	NA	i	FALSE	NA
dihely	0.49614561155163733	dihe¬	hotelban/hotelben	nonce word response	dihelynak	dihelynek	1	28	-2.6741486494265287	NA	NA	e	nak	NA	i	FALSE	NA
dinelt	0.31012554065683806	dinelt	hotelban/hotelben	nonce word response	dineltban	dineltben	3	26	-1.9095425048844383	NA	NA	e	ban	NA	i	FALSE	NA
dingec	0.3847708983198634	dingec	hotelban/hotelben	nonce word response	dingecnak	dingecnek	3	26	-1.9095425048844383	NA	NA	e	nak	NA	i	TRUE	NA
dóbem	0.41588012628582527	dóbem	hotelban/hotelben	nonce word response	dóbemnak	dóbemnek	6	23	-1.2321436812926323	NA	NA	e	nak	NA	ó	FALSE	NA
