my_list,key.keys,key.rt,key_2.keys,key_2.rt,keyboard_input_2.keys,keyboard_input_2.rt,key_3.keys,key_3.rt,keyboard_input_3.keys,keyboard_input_3.rt,key_4.keys,key_4.rt,keyboard_input_4.keys,keyboard_input_4.rt,key_5.keys,key_5.rt,my_button1,my_button2,keyboard_input.keys,keyboard_input.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,rowname,word,prompt,suffix,vowel,carrier_sentence,target_sentence,target1,target2,category,derivational,nsyl,Azonosító,Melyik évben születtél?,Mi a nemed?,Tanultál nyelvészetet?,date,expName,psychopyVersion,OS,frameRate
list2.csv,space,25.953,space,7.683,right,6.983,space,11.698,left,4.12,space,11.681,left,6.552,space,15.346,szűslök,szűslöm,left,11.965,0,0,0,85,1,86,szűslik,szűslesz,NA,NA,Te bizony sokat szűslesz.,Én is sokat...,szűslök,szűslöm,lakik,-lik,1,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
,,,,,,,,,,,,,,,,,lorjódzom,lorjódzok,left,5.54,0,1,1,88,1,89,lorjódzik,lorjódzol,NA,NA,Te bizony sokat lorjódzol.,Én is sokat...,lorjódzok,lorjódzom,lakik,-zik,2,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
,,,,,,,,,,,,,,,,,kalrézben,kalrézban,left,4.81,0,2,2,16,1,71,kalréz,kalréz,ban,é,Ez itt egy kalréz.,Ott vagyunk a...,kalrézben,kalrézban,dzsungel,NA,NA,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
,,,,,,,,,,,,,,,,,csimennál,csimennél,right,6.461,0,3,3,44,1,99,csimen,csimen,nál,e,Ez itt egy csimen.,Nincs is jobb egy jó...,csimennél,csimennál,dzsungel,NA,NA,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
,,,,,,,,,,,,,,,,,kluzlotok,kluzoztok,right,26.161,0,4,4,148,1,95,kluzlik / kluzozik,"kluzlik, kluzozni",tek,NA,"János imád kluzozni, ezért sokat kluzlik.",Ti ritkán...,kluzlotok,kluzoztok,cselekszik,-lik,1,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
,,,,,,,,,,,,,,,,,hákodnak,hákszanak,left,5.326,0,5,5,150,1,97,hákszik / hákodik,"hákszik, hákodni",nek,NA,"János imád hákodni, ezért sokat hákszik.",Ők ritkán...,hákszanak,hákodnak,cselekszik,-szik,1,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
,,,,,,,,,,,,,,,,,sprízemnél,sprízemnál,left,4.084,0,6,6,22,1,77,sprízem,sprízem,nál,e,Ez itt egy sprízem.,Nincs is jobb egy jó...,sprízemnél,sprízemnál,dzsungel,NA,NA,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
,,,,,,,,,,,,,,,,,flűmlöm,flűmlök,right,3.784,0,7,7,54,1,55,flűmlik,flűmlesz,NA,NA,Te bizony sokat flűmlesz.,Én is sokat...,flűmlök,flűmlöm,lakik,-lik,1,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
,,,,,,,,,,,,,,,,,garcépnél,garcépnál,left,47.127,0,8,8,38,1,93,garcép,garcép,nál,é,Ez itt egy garcép.,Nincs is jobb egy jó...,garcépnél,garcépnál,dzsungel,NA,NA,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
,,,,,,,,,,,,,,,,,flemezünk,flemlünk,left,16.203,0,9,9,137,1,84,flemlik / flemezik,"flemlik, flemezni",ünk,NA,"János imád flemezni, ezért sokat flemlik.",Mi ritkán...,flemlünk,flemezünk,cselekszik,-lik,1,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
