my_list,key.keys,key.rt,key_2.keys,key_2.rt,keyboard_input_2.keys,keyboard_input_2.rt,key_3.keys,key_3.rt,keyboard_input_3.keys,keyboard_input_3.rt,key_4.keys,key_4.rt,keyboard_input_4.keys,keyboard_input_4.rt,key_5.keys,key_5.rt,my_button1,my_button2,keyboard_input.keys,keyboard_input.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,rowname,word,prompt,suffix,vowel,carrier_sentence,target_sentence,target1,target2,category,derivational,nsyl,Azonosító,Melyik évben születtél?,Mi a nemed?,Tanultál nyelvészetet?,date,expName,psychopyVersion,OS,frameRate
list1.csv,space,14.3521,space,8.8843,right,8.8407,space,13.3288,right,14.49,space,6.5425,right,10.3605,space,16.668,gonszéknál,gonszéknél,right,8.105,0,0,0,38,1,39,gonszék,gonszék,nál,é,Ez itt egy gonszék.,Nincs is jobb egy jó...,gonszéknél,gonszéknál,dzsungel,NA,NA,PR2084,1974,nő,nem,2022-04-19_21h42.15.679,hesp_baseline,2021.2.3,Win32,60.17571308
,,,,,,,,,,,,,,,,,sprudozunk,sprudlunk,left,24.2315,0,1,1,136,1,29,sprudlik / sprudozik,"sprudlik, sprudozni",ünk,NA,"János imád sprudozni, ezért sokat sprudlik.",Mi ritkán...,sprudlunk,sprudozunk,cselekszik,-lik,1,PR2084,1974,nő,nem,2022-04-19_21h42.15.679,hesp_baseline,2021.2.3,Win32,60.17571308
,,,,,,,,,,,,,,,,,szibedban,szibedben,right,14.1514,0,2,2,47,1,48,szibed,szibed,ban,e,Ez itt egy szibed.,Ott vagyunk a...,szibedben,szibedban,dzsungel,NA,NA,PR2084,1974,nő,nem,2022-04-19_21h42.15.679,hesp_baseline,2021.2.3,Win32,60.17571308
,,,,,,,,,,,,,,,,,sztrajlanak,sztrajoznak,right,8.9711,0,3,3,144,1,37,sztrajlik / sztrajozik,"sztrajlik, sztrajozni",nek,NA,"János imád sztrajozni, ezért sokat sztrajlik.",Ők ritkán...,sztrajlanak,sztrajoznak,cselekszik,-lik,1,PR2084,1974,nő,nem,2022-04-19_21h42.15.679,hesp_baseline,2021.2.3,Win32,60.17571308
,,,,,,,,,,,,,,,,,diránylanak,dirányoznak,right,6.0246,0,4,4,122,1,15,diránylik / dirányozik,"diránylik, dirányozni",nek,NA,"János imád dirányozni, ezért sokat diránylik.",Ők ritkán...,diránylanak,dirányoznak,cselekszik,-lik,2,PR2084,1974,nő,nem,2022-04-19_21h42.15.679,hesp_baseline,2021.2.3,Win32,60.17571308
,,,,,,,,,,,,,,,,,spűmlöm,spűmlök,right,16.0844,0,5,5,86,1,33,spűmlik,spűmlesz,NA,NA,Te bizony sokat spűmlesz.,Én is sokat...,spűmlök,spűmlöm,lakik,-lik,1,PR2084,1974,nő,nem,2022-04-19_21h42.15.679,hesp_baseline,2021.2.3,Win32,60.17571308
,,,,,,,,,,,,,,,,,spivejeznek,spivejlenek,left,11.7762,0,6,6,125,1,18,spivejlik / spivejezik,"spivejlik, spivejezni",nek,NA,"János imád spivejezni, ezért sokat spivejlik.",Ők ritkán...,spivejlenek,spivejeznek,cselekszik,-lik,2,PR2084,1974,nő,nem,2022-04-19_21h42.15.679,hesp_baseline,2021.2.3,Win32,60.17571308
,,,,,,,,,,,,,,,,,frinylunk,frinyozunk,right,7.0607,0,7,7,133,1,26,frinylik / frinyozik,"frinylik, frinyozni",ünk,NA,"János imád frinyozni, ezért sokat frinylik.",Mi ritkán...,frinylunk,frinyozunk,cselekszik,-lik,1,PR2084,1974,nő,nem,2022-04-19_21h42.15.679,hesp_baseline,2021.2.3,Win32,60.17571308
,,,,,,,,,,,,,,,,,galároznak,galárzanak,left,6.9371,0,8,8,154,1,47,galárzik / galározik,"galárzik, galározni",nek,NA,"János imád galározni, ezért sokat galárzik.",Ők ritkán...,galárzanak,galároznak,cselekszik,-zik,2,PR2084,1974,nő,nem,2022-04-19_21h42.15.679,hesp_baseline,2021.2.3,Win32,60.17571308
,,,,,,,,,,,,,,,,,frirzunk,frirozunk,right,7.5444,0,9,9,129,1,22,frirzik / frirozik,"frirzik, frirozni",ünk,NA,"János imád frirozni, ezért sokat frirzik.",Mi ritkán...,frirzunk,frirozunk,cselekszik,-zik,1,PR2084,1974,nő,nem,2022-04-19_21h42.15.679,hesp_baseline,2021.2.3,Win32,60.17571308
,,,,,,,,,,,,,,,,,jorzégnek,jorzégnak,left,8.7706,0,10,10,45,1,46,jorzég,jorzég,nak,é,Ez itt egy jorzég.,Elneveztem a kutyámat...,jorzégnek,jorzégnak,dzsungel,NA,NA,PR2084,1974,nő,nem,2022-04-19_21h42.15.679,hesp_baseline,2021.2.3,Win32,60.17571308
,,,,,,,,,,,,,,,,,darhénban,darhénben,left,12.4657,0,11,11,27,1,28,darhén,darhén,ban,é,Ez itt egy darhén.,Ott vagyunk a...,darhénben,darhénban,dzsungel,NA,NA,PR2084,1974,nő,nem,2022-04-19_21h42.15.679,hesp_baseline,2021.2.3,Win32,60.17571308
