my_list,key.keys,key.rt,key_2.keys,key_2.rt,keyboard_input_2.keys,keyboard_input_2.rt,key_3.keys,key_3.rt,keyboard_input_3.keys,keyboard_input_3.rt,key_4.keys,key_4.rt,keyboard_input_4.keys,keyboard_input_4.rt,key_5.keys,key_5.rt,my_button1,my_button2,keyboard_input.keys,keyboard_input.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,rowname,word,prompt,suffix,vowel,carrier_sentence,target_sentence,target1,target2,category,derivational,nsyl,Azonosító,Melyik évben születtél?,Mi a nemed?,Tanultál nyelvészetet?,date,expName,psychopyVersion,OS,frameRate
list2.csv,space,38.865,space,11.643,right,10.15,space,15.066,left,5.801,space,11.972,left,8.377,space,17.361,nyametban,nyametben,right,8.396,0,0,0,17,1,72,nyamet,nyamet,ban,e,Ez itt egy nyamet.,Ott vagyunk a...,nyametben,nyametban,dzsungel,NA,NA,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,klajrénnek,klajrénnak,left,11.131,0,1,1,41,1,96,klajrén,klajrén,nak,é,Ez itt egy klajrén.,Elneveztem a kutyámat...,klajrénnek,klajrénnak,dzsungel,NA,NA,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,ikszertben,ikszertban,left,7.559,0,2,2,19,1,74,ikszert,ikszert,ban,e,Ez itt egy ikszert.,Ott vagyunk a...,ikszertben,ikszertban,dzsungel,NA,NA,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,vorszennél,vorszennál,left,6.526,0,3,3,30,1,85,vorszen,vorszen,nál,e,Ez itt egy vorszen.,Nincs is jobb egy jó...,vorszennél,vorszennál,dzsungel,NA,NA,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,flüröslöm,flüröslök,left,8.834,0,4,4,87,1,88,flüröslik,flüröslesz,NA,NA,Te bizony sokat flüröslesz.,Én is sokat...,flüröslök,flüröslöm,lakik,-lik,2,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,trigencnek,trigencnak,left,4.367,0,5,5,31,1,86,trigenc,trigenc,nak,e,Ez itt egy trigenc.,Elneveztem a kutyámat...,trigencnek,trigencnak,dzsungel,NA,NA,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,forzédnak,forzédnek,right,4.779,0,6,6,46,1,101,forzéd,forzéd,nak,é,Ez itt egy forzéd.,Elneveztem a kutyámat...,forzédnek,forzédnak,dzsungel,NA,NA,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,praslom,praslok,left,8.464,0,7,7,80,1,81,praslik,praslasz,NA,NA,Te bizony sokat praslasz.,Én is sokat...,praslok,praslom,lakik,-lik,1,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,prihekszek,prihekszem,right,6.138,0,8,8,100,1,101,prihekszik,prihekszel,NA,NA,Te bizony sokat prihekszel.,Én is sokat...,prihekszek,prihekszem,lakik,-szik,2,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,dineltben,dineltban,left,6.296,0,9,9,0,1,55,dinelt,dinelt,ban,e,Ez itt egy dinelt.,Ott vagyunk a...,dineltben,dineltban,dzsungel,NA,NA,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
