base	baseline_log_odds	dat_id	record_date	part_id	part_gender	part_yob	part_edu	list_number	trial_kind	trial_index	stimulus	choice1	choice2	response	response_string	esp_response	esp_match	rt	time_elapsed	file_name	variation	column	log_odds	variant1	variant2	nsyl	suffix	sample_number	word_rank	top_20	bottom_20	reg_rate	reg_dist	picked_left	picked_v1	esp_v1	picked_majority	i
aglik	-0.2076393647782445	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_09h13.53.182.csv	2023-06-20T09:13:00Z	5fd7cd077541e708f2a10aed	NA	NA	NA	8	second posttest trial	6	Te bizony sokat aglasz. Én is sokat...	aglok	aglom	1	aglom	NA	NA	4873	35558	lakok_3_high_reversed	lakok/lakom	33	-0.2076393647782445	aglok	aglom	1	NA	3	38	FALSE	FALSE	NA	NA	FALSE	FALSE	NA	NA	1
brarlik	1.1451323043030026	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_08h16.02.189.csv	2023-06-20T08:16:00Z	607cabdfb9addc46d23a0f19	NA	NA	NA	8	second posttest trial	6	Te bizony sokat brarlasz. Én is sokat...	brarlok	brarlom	0	brarlok	NA	NA	7339	55080	lakok_3_high_reversed	lakok/lakom	33	1.1451323043030026	brarlok	brarlom	1	NA	3	7	TRUE	FALSE	NA	NA	TRUE	TRUE	NA	NA	1
brüszlik / brüszözik	-0.2076393647782445	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_12h09.46.148.csv	2023-06-21T12:09:00Z	5d3c6e745602310001bca8aa	NA	NA	NA	8	second posttest trial	6	János imád brüszözni, ezért sokat brüszlik. Ti ritkán...	brüszöztök	brüszlötök	0	brüszöztök	NA	NA	6872	317140	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	-0.2076393647782445	brüszlötök	brüszöztök	1	tek	3	39	FALSE	FALSE	NA	NA	TRUE	FALSE	NA	NA	1
csólorzik	-0.5978370007556204	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_11h44.38.546.csv	2023-06-20T11:44:00Z	610032aa2ae56976d71d296d	NA	NA	NA	8	second posttest trial	6	Te bizony sokat csólorzol. Én is sokat...	csólorzom	csólorzok	0	csólorzom	NA	NA	3023	163453	lakok_3_high_reversed	lakok/lakom	33	-0.5978370007556204	csólorzok	csólorzom	2	NA	3	47	FALSE	TRUE	NA	NA	TRUE	FALSE	NA	NA	1
diránylik / dirányozik	-0.06899287148695143	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_11h51.47.417.csv	2023-06-21T11:51:00Z	607b14f74a8418d7b787ce33	NA	NA	NA	8	second posttest trial	6	János imád dirányozni, ezért sokat diránylik. Ők ritkán...	dirányoznak	diránylanak	0	dirányoznak	NA	NA	3934	47361	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	-0.06899287148695143	diránylanak	dirányoznak	2	nek	3	35	FALSE	FALSE	NA	NA	TRUE	FALSE	NA	NA	1
frivamlik / frivamozik	0.7419373447293773	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_13h14.12.882.csv	2023-06-21T13:14:00Z	61080f315a313dab03ea1cde	NA	NA	NA	8	second posttest trial	6	János imád frivamozni, ezért sokat frivamlik. Mi ritkán...	frivamlunk	frivamozunk	0	frivamlunk	NA	NA	2731	20778	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	0.7419373447293773	frivamlunk	frivamozunk	2	ünk	3	4	TRUE	FALSE	NA	NA	TRUE	TRUE	NA	NA	1
gibemlik / gibemezik	0.4353180712578455	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_11h31.31.484.csv	2023-06-21T11:31:00Z	566f3979744e3e0005b63481	NA	NA	NA	8	second posttest trial	6	János imád gibemezni, ezért sokat gibemlik. Mi ritkán...	gibemezünk	gibemlünk	1	gibemlünk	NA	NA	3121	39239	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	0.4353180712578455	gibemlünk	gibemezünk	2	ünk	3	14	TRUE	FALSE	NA	NA	FALSE	TRUE	NA	NA	1
gyivepszik / gyivepedik	0.20763936477824457	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_13h08.08.328.csv	2023-06-21T13:08:00Z	5e8aefb03d71b0799a8d0f48	NA	NA	NA	8	second posttest trial	6	János imád gyivepedni, ezért sokat gyivepszik. Ők ritkán...	gyivepszenek	gyivepednek	0	gyivepszenek	NA	NA	3433	53895	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	0.20763936477824457	gyivepszenek	gyivepednek	2	nek	3	21	FALSE	FALSE	NA	NA	TRUE	TRUE	NA	NA	1
ibáglik	0.6418538861723947	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_12h37.10.182.csv	2023-06-20T12:37:00Z	5f632ea32e85353d93872c67	NA	NA	NA	8	second posttest trial	6	Te bizony sokat ibáglasz. Én is sokat...	ibáglok	ibáglom	1	ibáglom	NA	NA	3692	65941	lakok_3_high_reversed	lakok/lakom	33	0.6418538861723947	ibáglok	ibáglom	2	NA	3	18	FALSE	FALSE	NA	NA	FALSE	FALSE	NA	NA	1
kumlik	1.6486586255873816	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_10h48.54.386.csv	2023-06-20T10:48:00Z	608adf0cc8637f7f395352b1	NA	NA	NA	8	second posttest trial	6	Te bizony sokat kumlasz. Én is sokat...	kumlok	kumlom	0	kumlok	NA	NA	2951	97983	lakok_3_high_reversed	lakok/lakom	33	1.6486586255873816	kumlok	kumlom	1	NA	3	3	TRUE	FALSE	NA	NA	TRUE	TRUE	NA	NA	1
livaklik	-0.9650808960435872	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_15h13.44.238.csv	2023-06-20T15:13:00Z	5e1dff99f0b71e166a571d7f	NA	NA	NA	8	second posttest trial	6	Te bizony sokat livaklasz. Én is sokat...	livaklom	livaklok	0	livaklom	NA	NA	6741	46986	lakok_3_high_reversed	lakok/lakom	33	-0.9650808960435872	livaklok	livaklom	2	NA	3	53	FALSE	TRUE	NA	NA	TRUE	FALSE	NA	NA	1
mihágzik / mihágozik	-0.7419373447293773	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_08h12.22.832.csv	2023-06-21T08:12:00Z	5f338ba6ea047119dbd6e49e	NA	NA	NA	8	second posttest trial	6	János imád mihágozni, ezért sokat mihágzik. Ti ritkán...	mihágzotok	mihágoztok	1	mihágoztok	NA	NA	3729	59495	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	-0.7419373447293773	mihágzotok	mihágoztok	2	tek	3	51	FALSE	TRUE	NA	NA	FALSE	FALSE	NA	NA	1
míslik / mísozik	0.3483066942682158	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_11h03.01.204.csv	2023-06-21T11:03:00Z	5f99dc8aa866bf0bf2d60f46	NA	NA	NA	8	second posttest trial	6	János imád mísozni, ezért sokat míslik. Mi ritkán...	míslunk	mísozunk	0	míslunk	NA	NA	7821	39547	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	0.3483066942682158	míslunk	mísozunk	1	ünk	3	16	FALSE	FALSE	NA	NA	TRUE	TRUE	NA	NA	1
