base	variation	rule1	impugned_lower_confidence_limit1	rule2	impugned_lower_confidence_limit2	weight
aglik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
bejzik / bejezik	cselekszenek/cselekednek	iK → Vnk / __#	0.9997501546245636	NA	NA	1
bihánylik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
bivejlik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
bivégszik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / gs__#	0.9680252852666794	0.33417970300263633
branylik / branyozik	cselekszenek/cselekednek	iK → VnVk / ṉl__#	0.8421201310208906	NA	NA	1
brarlik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
bratárzik / bratározik	cselekszenek/cselekednek	iK → nVk / __#	0.7619153666264512	iK → nVk / z__#	0.864412078359784	0.4684882918106936
bregzik / bregezik	cselekszenek/cselekednek	iK → Vnk / __#	0.9997501546245636	NA	NA	1
breslik / bresezik	cselekszenek/cselekednek	iK → VnVk / l__#	0.8083885076159043	NA	NA	1
bribaslik / bribasozik	cselekszenek/cselekednek	iK → VnVk / l__#	0.8083885076159043	NA	NA	1
bribékszik / bribékedik	cselekszenek/cselekednek	iK → tVk / __#	0.8524008175566739	siK → edtVk / __#	0.15089826334371473	0.849597925268411
brilegzik / brilegezik	cselekszenek/cselekednek	iK → Vnk / __#	0.9997501546245636	NA	NA	1
brivaklik / brivakozik	cselekszenek/cselekednek	iK → VtVk / kl__#	0.9588618187208864	NA	NA	1
brivegzik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / __#	0.4765897838793942	0.5048151387587552
brivepszik / brivepedik	cselekszenek/cselekednek	iK → Vnk / __#	0.9997501546245636	siK → edVnk / __#	0.13739397049231497	0.8791762913270178
briváglik / brivágozik	cselekszenek/cselekednek	iK → VnVk / gl__#	0.9447216688778396	NA	NA	1
brobódzik	lakok/lakom	iK → Vk / dz__#	0.7492205435320619	iK → Vm / __#	0.4765897838793942	0.6112043003538655
brubzik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / __#	0.4765897838793942	0.5048151387587552
brágaklik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
brálamlik / brálamozik	cselekszenek/cselekednek	iK → VnVk / ml__#	0.9147494740469476	NA	NA	1
brárlik / brározik	cselekszenek/cselekednek	iK → VnVk / rl__#	0.8421201310208906	NA	NA	1
brözlik / brözözik	cselekszenek/cselekednek	iK → tVk / __#	0.8524008175566739	NA	NA	1
brüjlik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
brülöslik / brülösözik	cselekszenek/cselekednek	iK → Vnk / __#	0.9997501546245636	NA	NA	1
brürzik / brürözik	cselekszenek/cselekednek	iK → nVk / __#	0.7619153666264512	iK → nVk / z__#	0.864412078359784	0.4684882918106936
brüszlik / brüszözik	cselekszenek/cselekednek	iK → tVk / __#	0.8524008175566739	NA	NA	1
brűklik / brűközik	cselekszenek/cselekednek	iK → VtVk / kl__#	0.9588618187208864	NA	NA	1
böjzik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / __#	0.4765897838793942	0.5048151387587552
bölszik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / s__#	0.5863829779908971	0.45312410514513
bötőrzik / bötőrözik	cselekszenek/cselekednek	iK → Vnk / __#	0.9997501546245636	NA	NA	1
