cvc	cc
pőrügülényözik	pőrügülényzik
naskikúrodik	naskikúrdik
bigalik	biglik
kőnölik	kőnlik
kúlivúmalik	kúlivúmlik
gősölik	gőslik
sodíkulik	sodíklik
púlanozik	púlanzik
tódolik	tódlik
szüszölik	szüszlik
fizböküszik	fizbökszik
vókasudik	vókaslik
mímözik	mímzik
kavigoszik	kavigszik
lígödik	lígszik
tönyözik	tönyzik
ránozik	ránzik
szásudik	száslik
fikakolik	fikaklik
füsztötölik	füsztötlik
besziséngyőgelik	besziséngyőglik
söszígilik	söszíglik
tíndapodik	tíndapdik
púgalik	púglik
szosikudik	szosikszik
bépebözik	bépebzik
kijürelik	kijürlik
burukákolik	burukáklik
bűbügöszik	bűbügszik
rukudik	rukdik
súszulik	súszlik
zsütüpidik	zsütüpszik
kökejelik	kökejlik
finvökedik	finvökdik
múkaszik	múkszik
lokozik	lokszik
ríkomárulik	ríkomárlik
línyömizik	línyömzik
lúsulik	lúslik
dinalik	dinlik
vúrozukozik	vúrozukzik
laszunolik	laszunlik
dírvejepödik	dírvejepdik
sűsöszelik	sűsöszlik
brígörik	brígrik
bunyutopudik	bunyutopszik
főpezüliszik	főpezülszik
pűnyözik	pűnyzik
fátíludik	fátílszik
bünyölik	bünylik
frogoszik	frogszik
vűbözik	vűbzik
mógojolik	mógojlik
livokúloguszik	livokúlogszik
lüvejilik	lüvejlik
stűtibizik	stűtibzik
vúzusztúnalik	vúzusztúnlik
sáturuzik	sáturzik
kőködik	kőkszik
tíkuzik	tíkszik
bopodik	bopszik
vinigyügözik	vinigyügzik
szingödeszölik	szingödeszlik
kekirödik	kekirdik
bívupodik	bívupszik
rónyigorik	rónyigrik
strézleklűrözik	strézleklűrzik
denözik	denzik
plőkezik	plőkzik
büjelik	büjlik
kőnümezik	kőnümzik
bószolik	bószlik
vüfekölik	vüfeklik
brangarozik	brangarzik
büsüzőfűlöszik	büsüzőfűlszik
rűresilik	rűreslik
rökölik	röklik
bőfekéköszik	bőfekékszik
söjközgűgerik	söjközgűgrik
tűdedölönölik	tűdedölönlik
főreközik	főrekzik
bunozsalik	bunozslik
rőkijűföjölik	rőkijűföjlik
séliszik	sélszik
mógudik	mógszik
tipödik	tipdik
lédeközik	lédekzik
tínölik	tínlik
kigürik	kigrik
timorozik	timorzik
pigelödik	pigelszik
túkodik	túkszik
kéfívübékölik	kéfívübéklik
kőgömölik	kőgömlik
mumlorigodik	mumlorigszik
mőgöködik	mőgökdik
redübülkíjelik	redübülkíjlik
jödírökizik	jödírökzik
tonyuzik	tonyzik
fusaszolik	fusaszlik
kónyíruzik	kónyírzik
szijulik	szijlik
sakoguszik	sakogszik
toszojalik	toszojlik
ripdürilik	ripdürlik
möködik	mökszik
dákozik	dákszik
fúpanulik	fúpanlik
gőkezik	gőkzik
bűlírménözik	bűlírménzik
kúmomágyukaszik	kúmomágyukszik
prénilik	prénlik
renyözik	renyzik
kagupkálanulik	kagupkálanlik
fépidik	fépdik
búnlalodik	búnlalszik
tűkedik	tűkszik
szugozik	szugzik
vügiszékögilik	vügiszéköglik
