cvc	cc	type	cselekednek	cselekszenek
zókazulik	zókazlik	cselekednek	zókazulnak	zókazlanak
beszípedik	beszípszik	cselekedtek	beszípedtek	beszípszettek
fúkakozik	fúkakszik	cselekedne	fúkakozna	fúkakszana
redelébezik	redelébzik	cselekedtek	redelébeztek	redelébzettek
bezgíműsíjölik	bezgíműsíjlik	cselekedni	bezgíműsíjölni	bezgíműsíjleni
sonuzik	sonzik	cselekedni	sonuzni	sonzani
bebinezik	bebinzik	cselekedni	bebinezni	bebinzeni
nipszoszulik	nipszoszlik	cselekedni	nipszoszulni	nipszoszlani
turorodik	turordik	cselekedtek	turorodtak	turordottak
memözik	memzik	cselekedtek	memöztek	memzettek
víkusolik	víkuslik	cselekednek	víkusolnak	víkuslanak
nutosodik	nutoslik	cselekedni	nutosodni	nutoslani
ketügiszik	ketügszik	cselekedtek	ketügisztek	ketügszettek
kontagulik	kontaglik	cselekedtek	kontagultak	kontaglottak
fómanyulik	fómanylik	cselekedni	fómanyulni	fómanylani
nebögedik	nebögdik	cselekedtek	nebögedtek	nebögdettek
sodíkulik	sodíklik	cselekednek	sodíkulnek	sodíklenek
söjközgűgerik	söjközgűgrik	cselekedtek	söjközgűgertek	söjközgűgrettek
stűtibizik	stűtibzik	cselekedni	stűtibizni	stűtibzeni
pugaszik	pugszik	cselekedne	pugaszna	pugszana
füpönyözik	füpönyzik	cselekedne	füpönyözne	füpönyzene
mógudik	mógszik	cselekedtek	mógudtak	mógszottak
litorúvúdalik	litorúvúdlik	cselekedne	litorúvúdalna	litorúvúdlana
bopodik	bopszik	cselekedtek	bopodtak	bopszottak
tükizik	tükzik	cselekednek	tükiznek	tükzenek
kátíprápokoszik	kátíprápokszik	cselekedtek	kátíprápokosztak	kátíprápokszottak
rűkezik	rűkszik	cselekednek	rűkeznek	rűkszenek
nugínyozik	nugínyzik	cselekedtek	nugínyoztek	nugínyzettek
bigalik	biglik	cselekedtek	bigaltek	biglettek
ríndígedik	ríndígdik	cselekedtek	ríndígedtek	ríndígdettek
nokovónolik	nokovónlik	cselekedne	nokovónolna	nokovónlana
dűplünizik	dűplünzik	cselekednek	dűplüniznek	dűplünzenek
lagolik	laglik	cselekedni	lagolni	laglani
vapísodik	vapíslik	cselekedni	vapísodni	vapísleni
biveködik	bivekdik	cselekedni	biveködni	bivekdeni
gunyozik	gunyzik	cselekedtek	gunyoztok	gunyzotok
szonyulik	szonylik	cselekedtek	szonyultak	szonylottak
ziszigurik	ziszigrik	cselekedtek	ziszigurtek	ziszigrettek
gukalik	guklik	cselekedtek	gukaltak	guklottak
kázolik	kázlik	cselekedtek	kázoltak	kázlottak
dígajrómolik	dígajrómlik	cselekedtek	dígajrómoltok	dígajrómlotok
sötízölik	sötízlik	cselekedne	sötízölne	sötízlene
bűbügöszik	bűbügszik	cselekednek	bűbügösznek	bűbügszenek
dírvejepödik	dírvejepdik	cselekedne	dírvejepödne	dírvejepdene
ríndígedik	ríndígdik	cselekedtek	ríndígedtek	ríndígdettek
kerkütölik	kerkütlik	cselekedtek	kerkütöltek	kerkütlettek
főpezüliszik	főpezülszik	cselekedni	főpezüliszni	főpezülszeni
röderigüszik	röderigszik	cselekedtek	röderigüsztek	röderigszettek
vapodik	vapdik	cselekedtek	vapodtak	vapdottak
sőszöböfülidik	sőszöböfülszik	cselekedtek	sőszöböfülidtek	sőszöböfülszettek
bónyalik	bónylik	cselekedtek	bónyaltok	bónylotok
sankoguszik	sankogszik	cselekedni	sankoguszni	sankogszani
kütinölik	kütinlik	cselekedni	kütinölni	kütinleni
kűgödik	kűgdik	cselekedtek	kűgödtek	kűgdettek
tészödíközik	tészödíkzik	cselekedne	tészödíközne	tészödíkzene
tákozik	tákzik	cselekedne	tákozna	tákzana
lüpödik	lüpszik	cselekednek	lüpödnek	lüpszenek
tükizik	tükzik	cselekedtek	tükiztek	tükzettek
vurokodik	vurokszik	cselekedtek	vurokodtok	vurokszotok
bölödik	bölszik	cselekedne	bölödne	bölszene
frogoszik	frogszik	cselekedtek	frogosztok	frogszotok
kevütéledik	kevütélszik	cselekedtek	kevütéledtek	kevütélszettek
meközik	mekzik	cselekedtek	meköztek	mekzettek
pőtölik	pőtlik	cselekednek	pőtölnek	pőtlenek
vobozik	vobzik	cselekedtek	voboztak	vobzottak
sűgölik	sűglik	cselekedtek	sűgöltek	sűglettek
lumolik	lumlik	cselekednek	lumolnak	lumlanak
kőbejtíredik	kőbejtírdik	cselekedni	kőbejtíredni	kőbejtírdeni
küskebözik	küskebzik	cselekedtek	küskeböztek	küskebzettek
vírodik	vírdik	cselekednek	vírodnek	vírdenek
lákomozik	lákomzik	cselekedni	lákomozni	lákomzani
sűsöszelik	sűsöszlik	cselekedtek	sűsöszeltek	sűsöszlettek
kőnölik	kőnlik	cselekedne	kőnölne	kőnlene
fisöpedik	fisöpdik	cselekedni	fisöpedni	fisöpdeni
blosalik	bloslik	cselekedtek	blosaltok	bloslotok
gídölik	gídlik	cselekedtek	gídöltek	gídlettek
monokozik	monokszik	cselekedtek	monokoztok	monokszotok
főpezüliszik	főpezülszik	cselekednek	főpezülisznek	főpezülszenek
lűgürik	lűgrik	cselekednek	lűgürnek	lűgrenek
sögyürödik	sögyürdik	cselekedtek	sögyürödtek	sögyürdettek
krűsesidik	krűseslik	cselekedtek	krűsesidtek	krűseslettek
büsüzőfűlöszik	büsüzőfűlszik	cselekedtek	büsüzőfűlösztek	büsüzőfűlszettek
sőbedegödik	sőbedegszik	cselekedtek	sőbedegödtek	sőbedegszettek
nokovónolik	nokovónlik	cselekedtek	nokovónoltok	nokovónlotok
pimörilik	pimörlik	cselekedne	pimörilne	pimörlene
besziséngyőgelik	besziséngyőglik	cselekedni	besziséngyőgelni	besziséngyőgleni
stűtibizik	stűtibzik	cselekedtek	stűtibiztek	stűtibzettek
kerögedik	kerögszik	cselekedni	kerögedni	kerögszeni
káloszik	kálszik	cselekedni	káloszni	kálszani
vúnkarulik	vúnkarlik	cselekedni	vúnkarulni	vúnkarlani
ráludik	rálszik	cselekedne	ráludna	rálszana
pümbömizik	pümbömzik	cselekedne	pümbömizne	pümbömzene
kónyíruzik	kónyírzik	cselekednek	kónyíruznek	kónyírzenek
kupozsolik	kupozslik	cselekedne	kupozsolna	kupozslana
dűjilik	dűjlik	cselekednek	dűjilnek	dűjlenek
szágunolik	szágunlik	cselekednek	szágunolnak	szágunlanak
tizalaszik	tizalszik	cselekedtek	tizalasztok	tizalszotok
bőközik	bőkszik	cselekedne	bőközne	bőkszene
vílodik	vílszik	cselekedni	vílodni	vílszeni
vílodik	vílszik	cselekedne	vílodne	vílszene
mógojolik	mógojlik	cselekedne	mógojolna	mógojlana
szevimezik	szevimzik	cselekedne	szevimezne	szevimzene
kógapudik	kógapszik	cselekedtek	kógapudtok	kógapszotok
redöködik	redökdik	cselekedtek	redöködtek	redökdettek
jödírökizik	jödírökzik	cselekednek	jödírökiznek	jödírökzenek
műröneszéliszik	műröneszélszik	cselekedni	műröneszéliszni	műröneszélszeni
jőgökidik	jőgökdik	cselekedtek	jőgökidtek	jőgökdettek
gérmenyelik	gérmenylik	cselekedni	gérmenyelni	gérmenyleni
bölödik	bölszik	cselekedni	bölödni	bölszeni
zőlöszik	zőlszik	cselekedne	zőlöszne	zőlszene
münyözik	münyzik	cselekednek	münyöznek	münyzenek
bőfekéköszik	bőfekékszik	cselekedtek	bőfekékösztek	bőfekékszettek
túsulik	túslik	cselekedni	túsulni	túslani
möszírezik	möszírzik	cselekedtek	möszíreztek	möszírzettek
fizböküszik	fizbökszik	cselekedtek	fizböküsztek	fizbökszettek
kőpülödik	kőpülszik	cselekedne	kőpülödne	kőpülszene
tófamozik	tófamzik	cselekednek	tófamoznak	tófamzanak
bunozsalik	bunozslik	cselekednek	bunozsalnak	bunozslanak
