word	lakok	lakom
pesíredik	pesíredek	pesíredem
búdotólik	búdotólok	búdotólom
degedik	degedek	degedem
szöpilelik	szöpilelek	szöpilelem
műrüzözik	műrüzözök	műrüzözöm
vigezik	vigezek	vigezem
ridelik	ridelek	ridelem
zogtorosozózik	zogtorosozózok	zogtorosozózom
sazodik	sazodok	sazodom
gűdözőlik	gűdözőlök	gűdözőlöm
vülödik	vülödök	vülödöm
sőlözik	sőlözök	sőlözöm
jávotólik	jávotólok	jávotólom
vugotódik	vugotódok	vugotódom
pűszelezik	pűszelezek	pűszelezem
röszteledik	röszteledek	röszteledem
kúkozik	kúkozok	kúkozom
tőfödőzik	tőfödőzök	tőfödőzöm
rősölődik	rősölődök	rősölődöm
repüntölik	repüntölök	repüntölöm
lírkilúkodik	lírkilúkodok	lírkilúkodom
pűdődik	pűdődök	pűdődöm
nübisűtélezik	nübisűtélezek	nübisűtélezem
kókolik	kókolok	kókolom
fókolik	fókolok	fókolom
dogodik	dogodok	dogodom
tóvozodolik	tóvozodolok	tóvozodolom
bolilalózik	bolilalózok	bolilalózom
darjarógódik	darjarógódok	darjarógódom
púlalózik	púlalózok	púlalózom
pésedegezik	pésedegezek	pésedegezem
mekídekezik	mekídekezek	mekídekezem
léblilelik	léblilelek	léblilelem
ríledik	ríledek	ríledem
lókazodik	lókazodok	lókazodom
kozalolik	kozalolok	kozalolom
sőlődik	sőlődök	sőlődöm
salmutálodik	salmutálodok	salmutálodom
süszüjőződik	süszüjőződök	süszüjőződöm
kágozik	kágozok	kágozom
súkózik	súkózok	súkózom
dólolik	dólolok	dólolom
lánunozik	lánunozok	lánunozom
fűrtíkelik	fűrtíkelek	fűrtíkelem
púgyovíjázózik	púgyovíjázózok	púgyovíjázózom
kukózik	kukózok	kukózom
sösztözik	sösztözök	sösztözöm
lotozik	lotozok	lotozom
kósmidezik	kósmidezek	kósmidezem
völölik	völölök	völölöm
sótulodik	sótulodok	sótulodom
sőmelezik	sőmelezek	sőmelezem
stovazozik	stovazozok	stovazozom
zákszalodik	zákszalodok	zákszalodom
púmatolik	púmatolok	púmatolom
silelik	silelek	silelem
subzunakáltózik	subzunakáltózok	subzunakáltózom
dísedik	dísedek	dísedem
túkolik	túkolok	túkolom
tákszírelik	tákszírelek	tákszírelem
sügözik	sügözök	sügözöm
bűdüközik	bűdüközök	bűdüközöm
