word	type	fotelnak	fotelnek
nónem	fotelra	nónemra	nónemre
kákél	fotelba	kákélba	kákélbe
móngyér	fotelba	móngyérba	móngyérbe
tórtyélt	fotelon	tórtyélton	tórtyélten
raderf	fotelon	raderfon	raderfen
pázes	fotelra	pázesra	pázesre
povel	fotelban	povelban	povelben
mószél	fotelba	mószélba	mószélbe
sójes	fotelnak	sójesnak	sójesnek
vunez	fotelba	vunezba	vunezbe
kusmég	fotelon	kusmégon	kusmégen
fánér	fotelra	fánérra	fánérre
vubrés	fotelon	vubréson	vubrésen
skúsés	fotelra	skúsésra	skúsésre
kásét	fotelba	kásétba	kásétbe
kluler	fotelnak	klulernak	klulernek
kúger	fotelban	kúgerban	kúgerben
lúrél	fotelra	lúrélra	lúrélre
murér	fotelnak	murérnak	murérnek
súvel	fotelon	súvelon	súvelen
navélt	fotelnak	navéltnak	navéltnek
bátem	fotelba	bátemba	bátembe
púdél	fotelon	púdélon	púdélen
zúszér	fotelban	zúszérban	zúszérben
zóldés	fotelban	zóldésban	zóldésben
sofés	fotelnak	sofésnak	sofésnek
láltes	fotelba	láltesba	láltesbe
lútrészt	fotelba	lútrésztba	lútrésztbe
rúkes	fotelon	rúkeson	rúkesen
sztólen	fotelon	sztólenon	sztólenen
vuren	fotelon	vurenon	vurenen
fofés	fotelba	fofésba	fofésbe
mumég	fotelon	mumégon	mumégen
kulmenyv	fotelra	kulmenyvra	kulmenyvre
kószez	fotelba	kószezba	kószezbe
vorsés	fotelban	vorsésban	vorsésben
durég	fotelnak	durégnak	durégnek
pószdezs	fotelban	pószdezsban	pószdezsben
kóptény	fotelban	kóptényban	kóptényben
lódés	fotelban	lódésban	lódésben
kúdes	fotelon	kúdeson	kúdesen
mábet	fotelon	mábeton	mábeten
vozrész	fotelon	vozrészon	vozrészen
potér	fotelon	potéron	potéren
múbés	fotelnak	múbésnak	múbésnek
tuzsés	fotelnak	tuzsésnak	tuzsésnek
konteg	fotelba	kontegba	kontegbe
kúndév	fotelon	kúndévon	kúndéven
zságyék	fotelba	zságyékba	zságyékbe
káfés	fotelnak	káfésnak	káfésnek
kajez	fotelba	kajezba	kajezbe
tukes	fotelra	tukesra	tukesre
púves	fotelra	púvesra	púvesre
nores	fotelra	noresra	noresre
randvés	fotelnak	randvésnak	randvésnek
bodéd	fotelnak	bodédnak	bodédnek
zóltes	fotelra	zóltesra	zóltesre
pósert	fotelba	pósertba	pósertbe
fúntes	fotelnak	fúntesnak	fúntesnek
fabet	fotelban	fabetban	fabetben
pólneny	fotelnak	pólnenynak	pólnenynek
szalét	fotelon	szaléton	szaléten
mobes	fotelra	mobesra	mobesre
nandém	fotelba	nandémba	nandémbe
zsoszét	fotelra	zsoszétra	zsoszétre
dorer	fotelra	dorerra	dorerre
sulét	fotelban	sulétban	sulétben
fúnyen	fotelban	fúnyenban	fúnyenben
sobrel	fotelra	sobrelra	sobrelre
prúpégy	fotelba	prúpégyba	prúpégybe
lagtég	fotelon	lagtégon	lagtégen
túgen	fotelnak	túgennak	túgennek
kálék	fotelba	kálékba	kálékbe
tókéd	fotelra	tókédra	tókédre
vúfém	fotelban	vúfémban	vúfémben
vútégy	fotelban	vútégyban	vútégyben
káltes	fotelra	káltesra	káltesre
szoték	fotelra	szotékra	szotékre
bodéd	fotelra	bodédra	bodédre
randvés	fotelban	randvésban	randvésben
nónem	fotelban	nónemban	nónemben
vojet	fotelon	vojeton	vojeten
túteg	fotelnak	tútegnak	tútegnek
rogeny	fotelra	rogenyra	rogenyre
tukék	fotelon	tukékon	tukéken
dárkes	fotelra	dárkesra	dárkesre
máglés	fotelra	máglésra	máglésre
ludes	fotelon	ludeson	ludesen
fofés	fotelra	fofésra	fofésre
