lemma	xpostag	corpus_size	lemma_freq	vowels	v1	v2	tr
isten	[/N][Nom]	8570080167	3680957		i	e	isten
játék	[/N][Nom]	8570080167	3685489		á	é	játék
igény	[/N][Nom]	8570080167	3608489		i	é	igé¥
hotel	[/N][Nom]	8570080167	789022		o	e	hotel
modell	[/N][Nom]	8570080167	1509359		o	e	modell
siker	[/N][Nom]	8570080167	2073384		i	e	siker
tanév	[/N][Nom]	8570080167	668169		a	é	tanév
sziget	[/N][Nom]	8570080167	808649		i	e	ßiget
hitel	[/N][Nom]	8570080167	844987		i	e	hitel
szoftver	[/N][Nom]	8570080167	653676		o	e	ßoftver
tanszék	[/N][Nom]	8570080167	470398		a	é	tanßék
kávé	[/N][Nom]	8570080167	519215		á	é	kávé
koncert	[/N][Nom]	8570080167	1019145		o	e	koncert
színész	[/N][Nom]	8570080167	551930		í	é	ßínéß
partner	[/N][Nom]	8570080167	1270201		a	e	partner
liter	[/N][Nom]	8570080167	296263		i	e	liter
hideg	[/N][Nom]	8570080167	1008241		i	e	hideg
kastély	[/N][Nom]	8570080167	320792		a	é	kasté¬
honvéd	[/N][Nom]	8570080167	186978		o	é	honvéd
docens	[/N][Nom]	8570080167	185029		o	e	docens
vidék	[/N][Nom]	8570080167	607686		i	é	vidék
szándék	[/N][Nom]	8570080167	734342		á	é	ßándék
húsvét	[/N][Nom]	8570080167	195283		ú	é	húsvét
kábel	[/N][Nom]	8570080167	287412		á	e	kábel
ízlés	[/N][Nom]	8570080167	289642		í	é	ízlés
acél	[/N][Nom]	8570080167	172196		a	é	acél
ige	[/N][Nom]	8570080167	316559		i	e	ige
panel	[/N][Nom]	8570080167	223571		a	e	panel
more	[/N][Nom]	8570080167	95873		o	e	more
napfény	[/N][Nom]	8570080167	173388		a	é	napfé¥
pince	[/N][Nom]	8570080167	254704		i	e	pince
vitéz	[/N][Nom]	8570080167	124773		i	é	vitéz
illés	[/N][Nom]	8570080167	85734		i	é	illés
kliens	[/N][Nom]	8570080167	155897		i	e	kliens
sorrend	[/N][Nom]	8570080167	422307		o	e	sorrend
hardver	[/N][Nom]	8570080167	133417		a	e	hardver
blues	[/N][Nom]	8570080167	77971		u	e	blues
pótlék	[/N][Nom]	8570080167	138201		ó	é	pótlék
advent	[/N][Nom]	8570080167	81081		a	e	advent
csirke	[/N][Nom]	8570080167	120186		i	e	çirke
transzfer	[/N][Nom]	8570080167	87598		a	e	tranßfer
jólét	[/N][Nom]	8570080167	141768		ó	é	jólét
idény	[/N][Nom]	8570080167	156030		i	é	idé¥
borbély	[/N][Nom]	8570080167	59299		o	é	borbé¬
dízel	[/N][Nom]	8570080167	77548		í	e	dízel
liget	[/N][Nom]	8570080167	88151		i	e	liget
turné	[/N][Nom]	8570080167	155473		u	é	turné
szomszéd	[/N][Nom]	8570080167	463192		o	é	ßomßéd
igen	[/N][Nom]	8570080167	4296094		i	e	igen
marék	[/N][Nom]	8570080167	48039		a	é	marék
sláger	[/N][Nom]	8570080167	155508		á	e	sláger
árnyék	[/N][Nom]	8570080167	251729		á	é	ár¥ék
mise	[/N][Nom]	8570080167	119302		i	e	mise
poén	[/N][Nom]	8570080167	131624		o	é	poén
fitnesz	[/N][Nom]	8570080167	41560		i	e	fitneß
trade	[/N][Nom]	8570080167	39554		a	e	trade
izé	[/N][Nom]	8570080167	58397		i	é	izé
farmer	[/N][Nom]	8570080167	82647		a	e	farmer
pincér	[/N][Nom]	8570080167	66398		i	é	pincér
inger	[/N][Nom]	8570080167	106122		i	e	inger
licenc	[/N][Nom]	8570080167	71783		i	e	licenc
tányér	[/N][Nom]	8570080167	157436		á	é	tá¥ér
portré	[/N][Nom]	8570080167	112006		o	é	portré
modem	[/N][Nom]	8570080167	54652		o	e	modem
matek	[/N][Nom]	8570080167	47606		a	e	matek
haver	[/N][Nom]	8570080167	165801		a	e	haver
díszlet	[/N][Nom]	8570080167	99785		í	e	díßlet
mágnes	[/N][Nom]	8570080167	59860		á	e	mágnes
konzerv	[/N][Nom]	8570080167	49626		o	e	konzerv
hírnév	[/N][Nom]	8570080167	180022		í	é	hírnév
dzsungel	[/N][Nom]	8570080167	55832		u	e	dΩungel
színtér	[/N][Nom]	8570080167	130254		í	é	ßíntér
forte	[/N][Nom]	8570080167	26098		o	e	forte
szlogen	[/N][Nom]	8570080167	73259		o	e	ßlogen
újév	[/N][Nom]	8570080167	42118		ú	é	újév
fillér	[/N][Nom]	8570080167	103937		i	é	fillér
konszern	[/N][Nom]	8570080167	31027		o	e	konßern
balhé	[/N][Nom]	8570080167	47256		a	é	balhé
pillér	[/N][Nom]	8570080167	86461		i	é	pillér
tisztség	[/N][Nom]	8570080167	167860		i	é	tißtség
dinnye	[/N][Nom]	8570080167	40391		i	e	din¥e
pite	[/N][Nom]	8570080167	38653		i	e	pite
poszter	[/N][Nom]	8570080167	49599		o	e	poßter
pasztell	[/N][Nom]	8570080167	22351		a	e	paßtell
ideg	[/N][Nom]	8570080167	99469		i	e	ideg
ihlet	[/N][Nom]	8570080167	108042		i	e	ihlet
ikrek	[/N][Nom]	8570080167	21612		i	e	ikrek
óvszer	[/N][Nom]	8570080167	41045		ó	e	óvßer
tized	[/N][Nom]	8570080167	44484		i	e	tized
iker	[/N][Nom]	8570080167	83330		i	e	iker
fotel	[/N][Nom]	8570080167	70961		o	e	fotel
lumen	[/N][Nom]	8570080167	19534		u	e	lumen
póker	[/N][Nom]	8570080167	22273		ó	e	póker
migrén	[/N][Nom]	8570080167	26342		i	é	migrén
filter	[/N][Nom]	8570080167	28881		i	e	filter
tájkép	[/N][Nom]	8570080167	40998		á	é	tájkép
bróker	[/N][Nom]	8570080167	27705		ó	e	bróker
bojler	[/N][Nom]	8570080167	25309		o	e	bojler
bohém	[/N][Nom]	8570080167	24956		o	é	bohém
számjegy	[/N][Nom]	8570080167	52798		á	e	ßámje©
nonszensz	[/N][Nom]	8570080167	16551		o	e	nonßenß
páncél	[/N][Nom]	8570080167	48853		á	é	páncél
jogrend	[/N][Nom]	8570080167	33941		o	e	jogrend
skanzen	[/N][Nom]	8570080167	26458		a	e	skanzen
sprinter	[/N][Nom]	8570080167	16058		i	e	sprinter
tápszer	[/N][Nom]	8570080167	41980		á	e	tápßer
puffer	[/N][Nom]	8570080167	21029		u	e	puffer
szovjet	[/N][Nom]	8570080167	340921		o	e	ßovjet
roller	[/N][Nom]	8570080167	22986		o	e	roller
kráter	[/N][Nom]	8570080167	30791		á	e	kráter
hangnem	[/N][Nom]	8570080167	59986		a	e	hangnem
szirtes	[/N][Nom]	8570080167	13066		i	e	ßirtes
színes	[/N][Nom]	8570080167	758239		í	e	ßínes
fráter	[/N][Nom]	8570080167	13052		á	e	fráter
pigment	[/N][Nom]	8570080167	28375		i	e	pigment
hátvéd	[/N][Nom]	8570080167	23893		á	é	hátvéd
fazék	[/N][Nom]	8570080167	47132		a	é	fazék
csípés	[/N][Nom]	8570080167	30293		í	é	çípés
pollen	[/N][Nom]	8570080167	29350		o	e	pollen
trapéz	[/N][Nom]	8570080167	13414		a	é	trapéz
jade	[/N][Nom]	8570080167	10622		a	e	jade
vice	[/N][Nom]	8570080167	10703		i	e	vice
