prompt_cc	prompt_cvc	suffix_ep	target_cc	target_cvc	tr_stem	tr_end	prompt_cc_tr	nsyl
spéglik	spégezik	nek	spéglenek	spégeznek	spég	lik	spéglik	1
spéglik	spégezik	tek	spégletek	spégeztek	spég	lik	spéglik	1
spéglik	spégezik	ünk	spéglünk	spégezünk	spég	lik	spéglik	1
sprüjzik	sprüjözik	nek	sprüjzenek	sprüjöznek	sprüj	zik	sprüjzik	1
sprüjzik	sprüjözik	tek	sprüjzötök	sprüjöztök	sprüj	zik	sprüjzik	1
sprüjzik	sprüjözik	ünk	sprüjzünk	sprüjözünk	sprüj	zik	sprüjzik	1
frálaslik	frálasozik	nek	frálaslanak	frálasoznak	frálas	lik	frálaslik	2
frálaslik	frálasozik	tek	frálaslotok	frálasoztok	frálas	lik	frálaslik	2
frálaslik	frálasozik	ünk	frálaslunk	frálasozunk	frálas	lik	frálaslik	2
sztrajlik	sztrajozik	nek	sztrajlanak	sztrajoznak	ßtraj	lik	ßtrajlik	1
sztrajlik	sztrajozik	tek	sztrajlotok	sztrajoztok	ßtraj	lik	ßtrajlik	1
sztrajlik	sztrajozik	ünk	sztrajlunk	sztrajozunk	ßtraj	lik	ßtrajlik	1
válagzik	válagozik	nek	válagzanak	válagoznak	válag	zik	válagzik	2
válagzik	válagozik	tek	válagzotok	válagoztok	válag	zik	válagzik	2
válagzik	válagozik	ünk	válagzunk	válagozunk	válag	zik	válagzik	2
hibágzik	hibágozik	nek	hibágzanak	hibágoznak	hibág	zik	hibágzik	2
hibágzik	hibágozik	tek	hibágzotok	hibágoztok	hibág	zik	hibágzik	2
hibágzik	hibágozik	ünk	hibágzunk	hibágozunk	hibág	zik	hibágzik	2
drűrzik	drűrözik	nek	drűrzenek	drűröznek	drűr	zik	drűrzik	1
drűrzik	drűrözik	tek	drűrzötök	drűröztök	drűr	zik	drűrzik	1
drűrzik	drűrözik	ünk	drűrzünk	drűrözünk	drűr	zik	drűrzik	1
ugorzik	ugorozik	nek	ugorzanak	ugoroznak	ugor	zik	ugorzik	2
ugorzik	ugorozik	tek	ugorzotok	ugoroztok	ugor	zik	ugorzik	2
ugorzik	ugorozik	ünk	ugorzunk	ugorozunk	ugor	zik	ugorzik	2
jalszik	jalodik	nek	jalszanak	jalodnak	jal	ßik	jalßik	1
jalszik	jalodik	tek	jalszotok	jalodtok	jal	ßik	jalßik	1
jalszik	jalodik	ünk	jalszunk	jalodunk	jal	ßik	jalßik	1
nyéjzik	nyéjezik	nek	nyéjzenek	nyéjeznek	¥éj	zik	¥éjzik	1
nyéjzik	nyéjezik	tek	nyéjzetek	nyéjeztek	¥éj	zik	¥éjzik	1
nyéjzik	nyéjezik	ünk	nyéjzünk	nyéjezünk	¥éj	zik	¥éjzik	1
friheglik	frihegezik	nek	friheglenek	frihegeznek	friheg	lik	friheglik	2
friheglik	frihegezik	tek	frihegletek	frihegeztek	friheg	lik	friheglik	2
friheglik	frihegezik	ünk	friheglünk	frihegezünk	friheg	lik	friheglik	2
