lemma	xpostag	corpus_size	lemma_freq	tr
látszik	[/V][Prs.NDef.3Sg]	8570080167	1217735	látßik
tetszik	[/V][Prs.NDef.3Sg]	8570080167	1498478	tetßik
játszik	[/V][Prs.NDef.3Sg]	8570080167	2672605	játßik
hiányzik	[/V][Prs.NDef.3Sg]	8570080167	686890	hiá¥zik
zajlik	[/V][Prs.NDef.3Sg]	8570080167	746813	zajlik
igyekszik	[/V][Prs.NDef.3Sg]	8570080167	1372052	i©ekßik
illik	[/V][Prs.NDef.3Sg]	8570080167	433674	illik
hangzik	[/V][Prs.NDef.3Sg]	8570080167	530652	hangzik
fekszik	[/V][Prs.NDef.3Sg]	8570080167	604506	fekßik
növekszik	[/V][Prs.NDef.3Sg]	8570080167	520866	növekßik
törekszik	[/V][Prs.NDef.3Sg]	8570080167	642126	törekßik
rejlik	[/V][Prs.NDef.3Sg]	8570080167	197559	rejlik
alszik	[/V][Prs.NDef.3Sg]	8570080167	668614	alßik
emlékszik	[/V][Prs.NDef.3Sg]	8570080167	582875	emlékßik
romlik	[/V][Prs.NDef.3Sg]	8570080167	195968	romlik
nyugszik	[/V][Prs.NDef.3Sg]	8570080167	200200	¥ugßik
alapszik	[/V][Prs.NDef.3Sg]	8570080167	60602	alapßik
áramlik	[/V][Prs.NDef.3Sg]	8570080167	85538	áramlik
oszlik	[/V][Prs.NDef.3Sg]	8570080167	77631	oßlik
virágzik	[/V][Prs.NDef.3Sg]	8570080167	83044	virágzik
melegszik	[/V][Prs.NDef.3Sg]	8570080167	43511	melegßik
hullik	[/V][Prs.NDef.3Sg]	8570080167	123414	hullik
hajlik	[/V][Prs.NDef.3Sg]	8570080167	62306	hajlik
ömlik	[/V][Prs.NDef.3Sg]	8570080167	51237	ömlik
rémlik	[/V][Prs.NDef.3Sg]	8570080167	33703	rémlik
bomlik	[/V][Prs.NDef.3Sg]	8570080167	48249	bomlik
vérzik	[/V][Prs.NDef.3Sg]	8570080167	54196	vérzik
sugárzik	[/V][Prs.NDef.3Sg]	8570080167	39114	sugárzik
ízlik	[/V][Prs.NDef.3Sg]	8570080167	62418	ízlik
dohányzik	[/V][Prs.NDef.3Sg]	8570080167	67978	dohá¥zik
haragszik	[/V][Prs.NDef.3Sg]	8570080167	129179	haragßik
vetekszik	[/V][Prs.NDef.3Sg]	8570080167	28843	vetekßik
öregszik	[/V][Prs.NDef.3Sg]	8570080167	32240	öregßik
torkollik	[/V][Prs.NDef.3Sg]	8570080167	43300	torkollik
omlik	[/V][Prs.NDef.3Sg]	8570080167	44757	omlik
fénylik	[/V][Prs.NDef.3Sg]	8570080167	21630	fé¥lik
haldoklik	[/V][Prs.NDef.3Sg]	8570080167	21831	haldoklik
lélegzik	[/V][Prs.NDef.3Sg]	8570080167	82329	lélegzik
izzik	[/V][Prs.NDef.3Sg]	8570080167	23399	izzik
siklik	[/V][Prs.NDef.3Sg]	8570080167	27173	siklik
