prompt	tr	nsyl	ending	target_k	target_m	keep_enough_distance	keep_no_overlap
mamlik	mamlik	1	lik	mamlok	mamlom	TRUE	FALSE
brüjlik	brüjlik	1	lik	brüjlök	brüjlöm	TRUE	TRUE
díslik	díslik	1	lik	díslok	díslom	TRUE	TRUE
likszik	likßik	1	zik	lokszik	lomszik	TRUE	FALSE
bítlik	bítlik	1	lik	bítlok	bítlom	TRUE	TRUE
flűmlik	flűmlik	1	lik	flűmlök	flűmlöm	TRUE	TRUE
flérlik	flérlik	1	lik	flérlek	flérlem	TRUE	TRUE
nyágzik	¥ágzik	1	zik	nyágzok	nyágzom	TRUE	TRUE
sprüslik	sprüslik	1	lik	sprüslök	sprüslöm	TRUE	TRUE
klárzik	klárzik	1	zik	klárzok	klárzom	TRUE	TRUE
síklik	síklik	1	lik	síklok	síklom	TRUE	FALSE
szöszlik	ßößlik	1	lik	szöszlök	szöszlöm	TRUE	FALSE
sztremlik	ßtremlik	1	lik	sztremlek	sztremlem	TRUE	TRUE
sojzik	sojzik	1	zik	sojzok	sojzom	TRUE	TRUE
csünylik	çü¥lik	1	lik	csünylök	csünylöm	TRUE	TRUE
büglik	büglik	1	lik	büglök	büglöm	TRUE	TRUE
klűlszik	klűlßik	1	zik	klűlszök	klűlszöm	TRUE	TRUE
lerzik	lerzik	1	zik	lerzek	lerzem	TRUE	TRUE
kábzik	kábzik	1	zik	kábzok	kábzom	TRUE	TRUE
prárzik	prárzik	1	zik	prárzok	prárzom	TRUE	TRUE
figlik	figlik	1	lik	figlok	figlom	TRUE	TRUE
rájzik	rájzik	1	zik	rájzok	rájzom	TRUE	TRUE
prujlik	prujlik	1	lik	prujlok	prujlom	TRUE	TRUE
léglik	léglik	1	lik	léglek	léglem	TRUE	FALSE
ribzik	ribzik	1	zik	ribzok	ribzom	TRUE	TRUE
trádlik	trádlik	1	lik	trádlok	trádlom	TRUE	TRUE
marzik	marzik	1	zik	marzok	marzom	TRUE	TRUE
fugzik	fugzik	1	zik	fugzok	fugzom	TRUE	TRUE
delszik	delßik	1	zik	delszek	delszem	TRUE	FALSE
féslik	féslik	1	lik	féslek	féslem	TRUE	TRUE
