prompt	target_k	target_m
rordik	rordok	rordom
hölszik	hölszök	hölszöm
utszik	utszok	utszom
düszlik	düszlök	düszlöm
jigszik	jigszok	jigszom
mullik	mullok	mullom
készpik	készpek	készpem
dírzik	dírzok	dírzom
hűnylik	hűnylök	hűnylöm
kejzik	kejzek	kejzem
özzik	özzök	özzöm
fobzik	fobzok	fobzom
jákszik	jákszok	jákszom
sökszik	sökszök	sökszöm
hémlik	hémlek	hémlem
sukszik	sukszok	sukszom
szisdik	szisdok	szisdom
jűbzik	jűbzök	jűbzöm
mígrik	mígrok	mígrom
valszik	valszok	valszom
kögzik	kögzök	kögzöm
szijlik	szijlok	szijlom
dödlik	dödlök	dödlöm
rotlik	rotlok	rotlom
nyizzik	nyizzok	nyizzom
hézzik	hézzek	hézzem
kusdik	kusdok	kusdom
pullik	pullok	pullom
zurzik	zurzok	zurzom
sujlik	sujlok	sujlom
dollik	dollok	dollom
tejzik	tejzek	tejzem
füszpik	füszpök	füszpöm
kírlik	kírlok	kírlom
szibzik	szibzok	szibzom
forlik	forlok	forlom
sirlik	sirlok	sirlom
szalszik	szalszok	szalszom
műszlik	műszlök	műszlöm
ésdik	ésdek	ésdem
fözlik	fözlök	fözlöm
rigszik	rigszok	rigszom
logszik	logszok	logszom
egrik	egrek	egrem
dögzik	dögzök	dögzöm
kűbzik	kűbzök	kűbzöm
lűszpik	lűszpök	lűszpöm
dálszik	dálszok	dálszom
vozzik	vozzok	vozzom
loglik	loglok	loglom
tűzzik	tűzzök	tűzzöm
vaszlik	vaszlok	vaszlom
átszik	átszok	átszom
nyörzik	nyörzök	nyörzöm
nyürlik	nyürlök	nyürlöm
csügzik	csügzök	csügzöm
sigszik	sigszok	sigszom
mösdik	mösdök	mösdöm
hirzik	hirzok	hirzom
csíjzik	csíjzok	csíjzom
csüszlik	csüszlök	csüszlöm
fozlik	fozlok	fozlom
lűnylik	lűnylök	lűnylöm
kéngik	kéngek	kéngem
lödlik	lödlök	lödlöm
ruzzik	ruzzok	ruzzom
töjlik	töjlök	töjlöm
bíklik	bíklok	bíklom
vibzik	vibzok	vibzom
csűglik	csűglök	csűglöm
katszik	katszok	katszom
szángik	szángok	szángom
nyokszik	nyokszok	nyokszom
boszlik	boszlok	boszlom
nyetlik	nyetlek	nyetlem
magrik	magrok	magrom
pütszik	pütszök	pütszöm
zétszik	zétszek	zétszem
zujlik	zujlok	zujlom
jitlik	jitlok	jitlom
letlik	letlek	letlem
potlik	potlok	potlom
mábzik	mábzok	mábzom
boglik	boglok	boglom
nyurzik	nyurzok	nyurzom
máglik	máglok	máglom
mukszik	mukszok	mukszom
hágzik	hágzok	hágzom
jinylik	jinylok	jinylom
tíslik	tíslok	tíslom
tujlik	tujlok	tujlom
pogzik	pogzok	pogzom
püklik	püklök	püklöm
jísdik	jísdok	jísdom
lozzik	lozzok	lozzom
