prompt	tr	nsyl	ending	target_k	target_m
mamlik	mamlik	1	lik	mamlok	mamlom
brüjlik	brüjlik	1	lik	brüjlök	brüjlöm
díslik	díslik	1	lik	díslok	díslom
likszik	likßik	1	zik	lokszik	lomszik
bítlik	bítlik	1	lik	bítlok	bítlom
flűmlik	flűmlik	1	lik	flűmlök	flűmlöm
flérlik	flérlik	1	lik	flérlek	flérlem
nyágzik	¥ágzik	1	zik	nyágzok	nyágzom
sprüslik	sprüslik	1	lik	sprüslök	sprüslöm
klárzik	klárzik	1	zik	klárzok	klárzom
síklik	síklik	1	lik	síklok	síklom
szöszlik	ßößlik	1	lik	szöszlök	szöszlöm
sztremlik	ßtremlik	1	lik	sztremlek	sztremlem
sojzik	sojzik	1	zik	sojzok	sojzom
csünylik	çü¥lik	1	lik	csünylök	csünylöm
büglik	büglik	1	lik	büglök	büglöm
klűlszik	klűlßik	1	zik	klűlszök	klűlszöm
lerzik	lerzik	1	zik	lerzek	lerzem
kábzik	kábzik	1	zik	kábzok	kábzom
prárzik	prárzik	1	zik	prárzok	prárzom
figlik	figlik	1	lik	figlok	figlom
rájzik	rájzik	1	zik	rájzok	rájzom
prujlik	prujlik	1	lik	prujlok	prujlom
léglik	léglik	1	lik	léglek	léglem
ribzik	ribzik	1	zik	ribzok	ribzom
trádlik	trádlik	1	lik	trádlok	trádlom
marzik	marzik	1	zik	marzok	marzom
fugzik	fugzik	1	zik	fugzok	fugzom
delszik	delßik	1	zik	delszek	delszem
féslik	féslik	1	lik	féslek	féslem
brűnylik	brű¥lik	1	lik	brűnylök	brűnylöm
femlik	femlik	1	lik	femlek	femlem
spatszik	spatßik	1	zik	spatszok	spatszom
frunylik	fru¥lik	1	lik	frunylok	frunylom
trorzik	trorzik	1	zik	trorzok	trorzom
kléslik	kléslik	1	lik	kléslek	kléslem
klétszik	klétßik	1	zik	klétszek	klétszem
csöglik	çöglik	1	lik	csöglök	csöglöm
klüjlik	klüjlik	1	lik	klüjlök	klüjlöm
bűtszik	bűtßik	1	zik	bűtszök	bűtszöm
drünylik	drü¥lik	1	lik	drünylök	drünylöm
rokszik	rokßik	1	zik	rokszok	rokszom
prűtszik	prűtßik	1	zik	prűtszök	prűtszöm
flüjzik	flüjzik	1	zik	flüjzök	flüjzöm
prűrlik	prűrlik	1	lik	prűrlök	prűrlöm
plolszik	plolßik	1	zik	plolszok	plolszom
dröjlik	dröjlik	1	lik	dröjlök	dröjlöm
frodlik	frodlik	1	lik	frodlok	frodlom
sztruglik	ßtruglik	1	lik	sztruglok	sztruglom
