prompt	suffix_back	suffix_front	target_front	target_back
aknét	ra	re	aknétre	aknétra
anreb	nál	nél	anrebnél	anrebnál
anzers	nál	nél	anzersnél	anzersnál
áprév	ra	re	áprévre	áprévra
atyer	ban	ben	atyerben	atyerban
bajlézs	nál	nél	bajlézsnél	bajlézsnál
bálnert	nál	nél	bálnertnél	bálnertnál
bárnyec	ba	be	bárnyecbe	bárnyecba
bírlek	ra	re	bírlekre	bírlekra
bisznet	ban	ben	bisznetben	bisznetban
bízjet	ba	be	bízjetbe	bízjetba
brakelt	ba	be	brakeltbe	brakeltba
brapel	nak	nek	brapelnek	brapelnak
brátkézs	nál	nél	brátkézsnél	brátkézsnál
brípen	ban	ben	brípenben	brípenban
brojléd	nál	nél	brojlédnél	brojlédnál
brújely	nál	nél	brújelynél	brújelynál
brumeszk	ba	be	brumeszkbe	brumeszkba
brúslek	ra	re	brúslekre	brúslekra
bucesz	ra	re	buceszre	buceszra
cábszem	ra	re	cábszemre	cábszemra
cájér	ban	ben	cájérben	cájérban
cámjég	ra	re	cámjégre	cámjégra
camzék	nál	nél	camzéknél	camzéknál
caykelt	ban	ben	caykeltben	caykeltban
cimbek	ra	re	cimbekre	cimbekra
ciskét	nak	nek	ciskétnek	ciskétnak
citvern	ban	ben	citvernben	citvernban
cízely	nak	nek	cízelynek	cízelynak
cízlef	ba	be	cízlefbe	cízlefba
cószed	nak	nek	cószednek	cószednak
csámét	nak	nek	csámétnek	csámétnak
csárvely	nak	nek	csárvelynek	csárvelynak
csidrégy	ban	ben	csidrégyben	csidrégyban
csigméd	nál	nél	csigmédnél	csigmédnál
csínker	ba	be	csínkerbe	csínkerba
csitnerz	nak	nek	csitnerznek	csitnerznak
csúnykég	nál	nél	csúnykégnél	csúnykégnál
cukfév	ba	be	cukfévbe	cukfévba
cumép	nál	nél	cumépnél	cumépnál
dácsez	ra	re	dácsezre	dácsezra
dajégy	nál	nél	dajégynél	dajégynál
dalkenc	ba	be	dalkencbe	dalkencba
damzér	nál	nél	damzérnél	damzérnál
dapnest	ra	re	dapnestre	dapnestra
dárnyég	nál	nél	dárnyégnél	dárnyégnál
daszél	nak	nek	daszélnek	daszélnak
dátkeb	ra	re	dátkebre	dátkebra
dátvec	ba	be	dátvecbe	dátvecba
dazény	ba	be	dazénybe	dazényba
díbéz	ba	be	díbézbe	díbézba
digyes	ban	ben	digyesben	digyesban
ditsen	ba	be	ditsenbe	ditsenba
ditsép	nak	nek	ditsépnek	ditsépnak
dogrék	ra	re	dogrékre	dogrékra
dzsilef	ban	ben	dzsilefben	dzsilefban
dzsinkec	ra	re	dzsinkecre	dzsinkecra
dzsitvec	ra	re	dzsitvecre	dzsitvecra
fádvet	ba	be	fádvetbe	fádvetba
famern	ra	re	famernre	famernra
fárveb	ra	re	fárvebre	fárvebra
fáters	nál	nél	fátersnél	fátersnál
faykéc	ba	be	faykécbe	faykécba
fijégy	nál	nél	fijégynél	fijégynál
fímkelt	ban	ben	fímkeltben	fímkeltban
finkerz	ba	be	finkerzbe	finkerzba
fíntely	ba	be	fíntelybe	fíntelyba
fiperz	ban	ben	fiperzben	fiperzban
fipkely	ban	ben	fipkelyben	fipkelyban
fiszév	nak	nek	fiszévnek	fiszévnak
fiszkéc	ban	ben	fiszkécben	fiszkécban
fitnél	nál	nél	fitnélnél	fitnélnál
fitveg	ba	be	fitvegbe	fitvegba
flacseb	ban	ben	flacsebben	flacsebban
flajszég	nak	nek	flajszégnek	flajszégnak
flanéj	ra	re	flanéjre	flanéjra
flapéz	ra	re	flapézre	flapézra
flárezt	ra	re	fláreztre	fláreztra
flicsér	ra	re	flicsérre	flicsérra
flidez	nál	nél	flideznél	flideznál
flíket	ban	ben	flíketben	flíketban
forszéd	nak	nek	forszédnek	forszédnak
frádézs	ra	re	frádézsre	frádézsra
frágesz	nál	nél	frágesznél	frágesznál
fralszév	nak	nek	fralszévnek	fralszévnak
frazben	ban	ben	frazbenben	frazbenban
frinces	nak	nek	frincesnek	frincesnak
frípej	ra	re	frípejre	frípejra
fritseb	nál	nél	fritsebnél	fritsebnál
frotez	ba	be	frotezbe	frotezba
frúkszéd	ra	re	frúkszédre	frúkszédra
frupézs	ban	ben	frupézsben	frupézsban
fruszég	ban	ben	fruszégben	fruszégban
fukény	ba	be	fukénybe	fukényba
gadrész	nak	nek	gadrésznek	gadrésznak
gakbély	nál	nél	gakbélynél	gakbélynál
gaknely	ba	be	gaknelybe	gaknelyba
galvert	ban	ben	galvertben	galvertban
gámelt	ra	re	gámeltre	gámeltra
gáznelt	nak	nek	gázneltnek	gázneltnak
gilméz	nak	nek	gilméznek	gilméznak
gomek	ba	be	gomekbe	gomekba
gomszér	nál	nél	gomszérnél	gomszérnál
gorves	ba	be	gorvesbe	gorvesba
gosztern	nál	nél	goszternnél	goszternnál
gótléd	ba	be	gótlédbe	gótlédba
grábfény	ba	be	grábfénybe	grábfényba
grácsem	ban	ben	grácsemben	grácsemban
grazbet	ra	re	grazbetre	grazbetra
grimbek	nál	nél	grimbeknél	grimbeknál
gríszlét	ba	be	gríszlétbe	gríszlétba
grízjely	ra	re	grízjelyre	grízjelyra
grókész	ba	be	grókészbe	grókészba
grúdét	nak	nek	grúdétnek	grúdétnak
gupély	ban	ben	gupélyben	gupélyban
gusztely	ra	re	gusztelyre	gusztelyra
gyajred	nak	nek	gyajrednek	gyajrednak
gyarteszk	ba	be	gyarteszkbe	gyarteszkba
gyicens	nál	nél	gyicensnél	gyicensnál
gyipét	nál	nél	gyipétnél	gyipétnál
gyirez	nak	nek	gyireznek	gyireznak
gyivéc	nak	nek	gyivécnek	gyivécnak
gyízjek	ba	be	gyízjekbe	gyízjekba
gyojlek	ban	ben	gyojlekben	gyojlekban
gyucert	ba	be	gyucertbe	gyucertba
gyúfnér	ban	ben	gyúfnérben	gyúfnérban
gyundeszk	ba	be	gyundeszkbe	gyundeszkba
hadvem	ra	re	hadvemre	hadvemra
hákszeg	nál	nél	hákszegnél	hákszegnál
hapéc	nál	nél	hapécnél	hapécnál
hármeszk	ba	be	hármeszkbe	hármeszkba
higej	ban	ben	higejben	higejban
hitneg	nál	nél	hitnegnél	hitnegnál
hódéc	nak	nek	hódécnek	hódécnak
holvensz	ba	be	holvenszbe	holvenszba
horzés	ra	re	horzésre	horzésra
hostéj	nak	nek	hostéjnek	hostéjnak
hótlend	ra	re	hótlendre	hótlendra
imbéz	ban	ben	imbézben	imbézban
jaktef	ra	re	jaktefre	jaktefra
jámef	ban	ben	jámefben	jámefban
jásrem	nál	nél	jásremnél	jásremnál
jígert	ba	be	jígertbe	jígertba
jínerz	nál	nél	jínerznél	jínerznál
jinkézs	ban	ben	jinkézsben	jinkézsban
jityéd	ban	ben	jityédben	jityédban
jolfenc	nál	nél	jolfencnél	jolfencnál
jorzenc	ba	be	jorzencbe	jorzencba
josenc	nál	nél	josencnél	josencnál
júfneszk	nak	nek	júfneszknek	júfneszknak
kabelv	ba	be	kabelvbe	kabelvba
kágnér	ban	ben	kágnérben	kágnérban
karent	nak	nek	karentnek	karentnak
kaszert	nál	nél	kaszertnél	kaszertnál
katyél	ra	re	katyélre	katyélra
kavelt	nak	nek	kaveltnek	kaveltnak
kímfest	ba	be	kímfestbe	kímfestba
kínylerz	nál	nél	kínylerznél	kínylerznál
kíszéj	nál	nél	kíszéjnél	kíszéjnál
kitvenc	ban	ben	kitvencben	kitvencban
kíverz	nak	nek	kíverznek	kíverznak
kízen	nál	nél	kízennél	kízennál
klájert	ba	be	klájertbe	klájertba
klámjet	ban	ben	klámjetben	klámjetban
klanzéd	ra	re	klanzédre	klanzédra
klapény	ba	be	klapénybe	klapényba
klintéc	ra	re	klintécre	klintécra
klíszend	nak	nek	klíszendnek	klíszendnak
klitnef	ra	re	klitnefre	klitnefra
klíveszt	nál	nél	klívesztnél	klívesztnál
klurdesz	nál	nél	klurdesznél	klurdesznál
kluszéd	ra	re	kluszédre	kluszédra
kóbely	ba	be	kóbelybe	kóbelyba
kogréj	ra	re	kogréjre	kogréjra
kojlend	ba	be	kojlendbe	kojlendba
kolfen	ba	be	kolfenbe	kolfenba
kórnéd	nál	nél	kórnédnél	kórnédnál
kótéc	ra	re	kótécre	kótécra
kralfézs	nak	nek	kralfézsnek	kralfézsnak
krándél	ban	ben	krándélben	krándélban
kranef	ra	re	kranefre	kranefra
krapfez	ban	ben	krapfezben	krapfezban
krimegy	ban	ben	krimegyben	krimegyban
kringec	ba	be	kringecbe	kringecba
krucéj	nak	nek	krucéjnek	krucéjnak
kucég	ra	re	kucégre	kucégra
kundeszt	nak	nek	kundesztnek	kundesztnak
kurdely	nak	nek	kurdelynek	kurdelynak
kúsvéz	ban	ben	kúsvézben	kúsvézban
kuszted	ban	ben	kusztedben	kusztedban
kvábely	nál	nél	kvábelynél	kvábelynál
kvajted	ra	re	kvajtedre	kvajtedra
kvándész	nak	nek	kvándésznek	kvándésznak
kvangeb	ba	be	kvangebbe	kvangebba
kváznej	nál	nél	kváznejnél	kváznejnál
kvímleg	nak	nek	kvímlegnek	kvímlegnak
kvirely	ra	re	kvirelyre	kvirelyra
kvómén	ban	ben	kvóménben	kvóménban
kvurneb	nak	nek	kvurnebnek	kvurnebnak
lágned	ra	re	lágnedre	lágnedra
lágnezt	nál	nél	lágneztnél	lágneztnál
lakbec	ba	be	lakbecbe	lakbecba
lankér	ban	ben	lankérben	lankérban
lindef	nál	nél	lindefnél	lindefnál
línsék	ba	be	línsékbe	línsékba
línyerz	nál	nél	línyerznél	línyerznál
lisend	nál	nél	lisendnél	lisendnál
lókézs	ba	be	lókézsbe	lókézsba
lorvép	nak	nek	lorvépnek	lorvépnak
lubéd	nak	nek	lubédnek	lubédnak
lucens	ba	be	lucensbe	lucensba
lundév	ban	ben	lundévben	lundévban
luzév	ban	ben	luzévben	luzévban
mábéd	nál	nél	mábédnél	mábédnál
mándéz	nak	nek	mándéznek	mándéznak
manrec	nál	nél	manrecnél	manrecnál
mínylév	ba	be	mínylévbe	mínylévba
molver	nak	nek	molvernek	molvernak
mótlek	ba	be	mótlekbe	mótlekba
movdés	ban	ben	movdésben	movdésban
mukfély	nál	nél	mukfélynél	mukfélynál
najreg	ban	ben	najregben	najregban
náprelv	nál	nél	náprelvnél	náprelvnál
násrezt	ba	be	násreztbe	násreztba
níterz	nak	nek	níterznek	níterznak
nitvéz	nál	nél	nitvéznél	nitvéznál
niveg	ban	ben	nivegben	nivegban
nívfem	nak	nek	nívfemnek	nívfemnak
nókél	ban	ben	nókélben	nókélban
nokszec	ban	ben	nokszecben	nokszecban
nomerz	ban	ben	nomerzben	nomerzban
nóméz	nál	nél	nóméznél	nóméznál
nucéj	ra	re	nucéjre	nucéjra
nyágézs	ba	be	nyágézsbe	nyágézsba
nyarmész	nak	nek	nyarmésznek	nyarmésznak
nyimég	ra	re	nyimégre	nyimégra
nyíszeg	nak	nek	nyíszegnek	nyíszegnak
nyokted	ba	be	nyoktedbe	nyoktedba
nyorbéd	nak	nek	nyorbédnek	nyorbédnak
ortély	nak	nek	ortélynek	ortélynak
pádvely	nak	nek	pádvelynek	pádvelynak
pajév	ba	be	pajévbe	pajévba
panzec	ban	ben	panzecben	panzecban
pazél	ra	re	pazélre	pazélra
picsfer	ra	re	picsferre	picsferra
pínselv	ba	be	pínselvbe	pínselvba
písény	ban	ben	písényben	písényban
piset	ba	be	pisetbe	pisetba
pistek	ban	ben	pistekben	pistekban
piszenc	ra	re	piszencre	piszencra
pítek	ba	be	pítekbe	pítekba
plintéz	ba	be	plintézbe	plintézba
plókeg	ba	be	plókegbe	plókegba
pocév	ban	ben	pocévben	pocévban
pofszeb	nak	nek	pofszebnek	pofszebnak
povjény	ba	be	povjénybe	povjényba
prágyef	nál	nél	prágyefnél	prágyefnál
prakéd	ban	ben	prakédben	prakédban
prátszem	nál	nél	prátszemnél	prátszemnál
prigmej	ra	re	prigmejre	prigmejra
prijél	ba	be	prijélbe	prijélba
prínégy	ra	re	prínégyre	prínégyra
prívfész	nak	nek	prívfésznek	prívfésznak
promszet	ra	re	promszetre	promszetra
pustern	ba	be	pusternbe	pusternba
ranszet	nak	nek	ranszetnek	ranszetnak
riltégy	ra	re	riltégyre	riltégyra
rinzem	ba	be	rinzembe	rinzemba
ritnés	ra	re	ritnésre	ritnésra
rityelv	nak	nek	rityelvnek	rityelvnak
rolven	ban	ben	rolvenben	rolvenban
rovdelt	ra	re	rovdeltre	rovdeltra
rucest	nál	nél	rucestnél	rucestnál
sábfég	ban	ben	sábfégben	sábfégban
saknej	nál	nél	saknejnél	saknejnál
sangelt	ba	be	sangeltbe	sangeltba
simej	nál	nél	simejnél	simejnál
símfer	nál	nél	símfernél	símfernál
sizét	ban	ben	sizétben	sizétban
skabél	ba	be	skabélbe	skabélba
skadret	ba	be	skadretbe	skadretba
skaltég	nál	nél	skaltégnél	skaltégnál
skapfég	ban	ben	skapfégben	skapfégban
skarény	ra	re	skarényre	skarényra
skarmel	ban	ben	skarmelben	skarmelban
skárten	nál	nél	skártennél	skártennál
skatem	ra	re	skatemre	skatemra
skinteg	ban	ben	skintegben	skintegban
skinzej	ban	ben	skinzejben	skinzejban
skired	nál	nél	skirednél	skirednál
skódél	ban	ben	skódélben	skódélban
skómelv	ba	be	skómelvbe	skómelvba
skrajed	ra	re	skrajedre	skrajedra
skróléc	ba	be	skrólécbe	skrólécba
skucezt	ban	ben	skuceztben	skuceztban
skundeb	nak	nek	skundebnek	skundebnak
slágyeb	ban	ben	slágyebben	slágyebban
slamzen	ban	ben	slamzenben	slamzenban
slapégy	nak	nek	slapégynek	slapégynak
slárnyet	nál	nél	slárnyetnél	slárnyetnál
slorten	ban	ben	slortenben	slortenban
smálnet	ba	be	smálnetbe	smálnetba
smalveg	ban	ben	smalvegben	smalvegban
smánek	nak	nek	smáneknek	smáneknak
smányej	ban	ben	smányejben	smányejban
smárvéc	ra	re	smárvécre	smárvécra
smicel	ban	ben	smicelben	smicelban
smigét	nál	nél	smigétnél	smigétnál
smogréd	ra	re	smogrédre	smogrédra
smucén	ra	re	smucénre	smucénra
smúdelt	ra	re	smúdeltre	smúdeltra
soncej	ban	ben	soncejben	soncejban
sótély	ban	ben	sótélyben	sótélyban
spágnét	ba	be	spágnétbe	spágnétba
spajet	ba	be	spajetbe	spajetba
spaléc	ba	be	spalécbe	spalécba
spanrej	ban	ben	spanrejben	spanrejban
spifégy	ban	ben	spifégyben	spifégyban
spigmév	ban	ben	spigmévben	spigmévban
spilyét	nak	nek	spilyétnek	spilyétnak
spímkely	nak	nek	spímkelynek	spímkelynak
spímzét	nak	nek	spímzétnek	spímzétnak
spínyef	ba	be	spínyefbe	spínyefba
spírnef	nak	nek	spírnefnek	spírnefnak
spirtegy	nál	nél	spirtegynél	spirtegynál
spitén	nál	nél	spiténnél	spiténnál
spocély	ban	ben	spocélyben	spocélyban
spróbéd	nak	nek	spróbédnek	spróbédnak
sprógej	ban	ben	sprógejben	sprógejban
sprubéj	ba	be	sprubéjbe	sprubéjba
sputely	ra	re	sputelyre	sputelyra
sranél	nak	nek	sranélnek	sranélnak
sriten	ba	be	sritenbe	sritenba
srovenc	ba	be	srovencbe	srovencba
srúlép	nál	nél	srúlépnél	srúlépnál
stakern	ra	re	stakernre	stakernra
stalfegy	ra	re	stalfegyre	stalfegyra
