onset	nucleus	coda	tr	word
	á©	ec	á©ec	ágyec
	á©	ed	á©ed	ágyed
	á©	éd	á©éd	ágyéd
	á©	edv	á©edv	ágyedv
	á©	éj	á©éj	ágyéj
	á©	ek	á©ek	ágyek
	á©	ekt	á©ekt	ágyekt
	á©	el	á©el	ágyel
	á©	él	á©él	ágyél
	á©	elt	á©elt	ágyelt
	á©	em	á©em	ágyem
	á©	en	á©en	ágyen
	á©	én	á©én	ágyén
	á©	enc	á©enc	ágyenc
	á©	end	á©end	ágyend
	á©	ens	á©ens	ágyens
	á©	ent	á©ent	ágyent
	á©	ép	á©ép	ágyép
	á©	er	á©er	ágyer
	á©	ér	á©ér	ágyér
	á©	ert	á©ert	ágyert
	á©	es	á©es	ágyes
	á©	és	á©és	ágyés
	á©	eß	á©eß	ágyesz
	á©	éß	á©éß	ágyész
	á©	eßt	á©eßt	ágyeszt
	á©	est	á©est	ágyest
	á©	et	á©et	ágyet
	á©	ét	á©ét	ágyét
	á©	év	á©év	ágyév
	á©	ez	á©ez	ágyez
	á©	éz	á©éz	ágyéz
	áb	e©	ábe©	ábegy
	áb	e¬	ábe¬	ábely
	áb	é¬	ábé¬	ábély
	áb	é¥	ábé¥	ábény
	áb	ec	ábec	ábec
	áb	ed	ábed	ábed
	áb	éd	ábéd	ábéd
	áb	edv	ábedv	ábedv
	áb	eg	ábeg	ábeg
	áb	ég	ábég	ábég
	áb	éj	ábéj	ábéj
	áb	ek	ábek	ábek
	áb	ék	ábék	ábék
	áb	ekt	ábekt	ábekt
	áb	el	ábel	ábel
	áb	él	ábél	ábél
	áb	elt	ábelt	ábelt
	áb	em	ábem	ábem
	áb	en	áben	áben
	áb	én	ábén	ábén
	áb	enc	ábenc	ábenc
	áb	end	ábend	ábend
	áb	ens	ábens	ábens
	áb	ent	ábent	ábent
	áb	ép	ábép	ábép
	áb	er	áber	áber
	áb	ér	ábér	ábér
	áb	ert	ábert	ábert
	áb	es	ábes	ábes
	áb	és	ábés	ábés
	áb	eß	ábeß	ábesz
	áb	éß	ábéß	ábész
	áb	eßt	ábeßt	ábeszt
	áb	est	ábest	ábest
	áb	et	ábet	ábet
	áb	ét	ábét	ábét
	áb	év	ábév	ábév
	áb	ez	ábez	ábez
	áb	éz	ábéz	ábéz
	ábf	e©	ábfe©	ábfegy
	ábf	e¬	ábfe¬	ábfely
	ábf	é¬	ábfé¬	ábfély
	ábf	é¥	ábfé¥	ábfény
	ábf	ec	ábfec	ábfec
	ábf	ed	ábfed	ábfed
	ábf	éd	ábféd	ábféd
	ábf	edv	ábfedv	ábfedv
	ábf	eg	ábfeg	ábfeg
	ábf	ég	ábfég	ábfég
	ábf	éj	ábféj	ábféj
	ábf	ek	ábfek	ábfek
	ábf	ék	ábfék	ábfék
	ábf	ekt	ábfekt	ábfekt
	ábf	el	ábfel	ábfel
	ábf	él	ábfél	ábfél
	ábf	elt	ábfelt	ábfelt
	ábf	em	ábfem	ábfem
	ábf	en	ábfen	ábfen
	ábf	én	ábfén	ábfén
	ábf	enc	ábfenc	ábfenc
	ábf	end	ábfend	ábfend
	ábf	ens	ábfens	ábfens
	ábf	ent	ábfent	ábfent
	ábf	ép	ábfép	ábfép
	ábf	er	ábfer	ábfer
	ábf	ér	ábfér	ábfér
	ábf	ert	ábfert	ábfert
	ábf	es	ábfes	ábfes
	ábf	és	ábfés	ábfés
	ábf	eß	ábfeß	ábfesz
	ábf	éß	ábféß	ábfész
	ábf	eßt	ábfeßt	ábfeszt
	ábf	est	ábfest	ábfest
	ábf	et	ábfet	ábfet
	ábf	ét	ábfét	ábfét
	ábf	év	ábfév	ábfév
	ábf	ez	ábfez	ábfez
	ábf	éz	ábféz	ábféz
	ac	e©	ace©	acegy
	ac	e¬	ace¬	acely
	ac	é¬	acé¬	acély
	ac	é¥	acé¥	acény
	ac	ed	aced	aced
	ac	éd	acéd	acéd
	ac	edv	acedv	acedv
	ac	eg	aceg	aceg
	ac	ég	acég	acég
	ac	éj	acéj	acéj
	ac	ek	acek	acek
	ac	ék	acék	acék
	ac	ekt	acekt	acekt
	ac	el	acel	acel
	ac	elt	acelt	acelt
	ac	em	acem	acem
	ac	en	acen	acen
	ac	én	acén	acén
	ac	end	acend	acend
	ac	ens	acens	acens
	ac	ent	acent	acent
	ac	ép	acép	acép
	ac	er	acer	acer
	ac	ér	acér	acér
	ac	ert	acert	acert
	ac	es	aces	aces
	ac	és	acés	acés
	ac	eß	aceß	acesz
	ac	éß	acéß	acész
	ac	eßt	aceßt	aceszt
	ac	est	acest	acest
	ac	et	acet	acet
	ac	ét	acét	acét
	ac	év	acév	acév
