onset	v1c1c2	v2c3c4	tr	word	target	keep_enough_distance	keep_no_overlap	keep_self_diff
br	üf	üß	brüfüßik	brüfüszik	brüfüß	TRUE	TRUE	TRUE
s	iml	akß	simlakßik	simlakszik	simlakß	TRUE	TRUE	TRUE
k	a©l	agl	ka©laglik	kagylaglik	ka©lagl	TRUE	TRUE	FALSE
t	ig	ekß	tigekßik	tigekszik	tigekß	TRUE	TRUE	TRUE
k	úv	űdz	kúvűdzik	kúvűdzik	kúvűdz	TRUE	TRUE	TRUE
r	átß	asl	rátßaslik	rátszaslik	rátßasl	TRUE	TRUE	FALSE
r	a†	iz	ra†izik	ratyizik	ra†iz	FALSE	TRUE	TRUE
l	esl	érß	leslérßik	leslérszik	leslérß	TRUE	TRUE	FALSE
n	ir	edz	niredzik	niredzik	niredz	TRUE	FALSE	TRUE
¥	í¥l	atl	¥í¥latlik	nyínylatlik	¥í¥latl	TRUE	TRUE	TRUE
dΩ	úv	úz	dΩúvúzik	dzsúvúzik	dΩúvúz	TRUE	TRUE	TRUE
v	o†	ud	vo†udik	votyudik	vo†ud	TRUE	TRUE	TRUE
n	e©	érl	ne©érlik	negyérlik	ne©érl	TRUE	TRUE	TRUE
n	ágt	ád	nágtádik	nágtádik	nágtád	TRUE	TRUE	FALSE
l	ár†	adz	lár†adzik	lártyadzik	lár†adz	TRUE	TRUE	TRUE
p	el	eml	pelemlik	pelemlik	peleml	TRUE	TRUE	TRUE
¥	údb	óz	¥údbózik	nyúdbózik	¥údbóz	TRUE	TRUE	TRUE
NA	oç	ódz	oçódzik	ocsódzik	oçódz	TRUE	TRUE	TRUE
bl	ug	ód	blugódik	blugódik	blugód	TRUE	TRUE	TRUE
fl	us	ód	flusódik	flusódik	flusód	TRUE	TRUE	TRUE
k	orΩ	ud	korΩudik	korzsudik	korΩud	TRUE	TRUE	TRUE
n	álm	ajl	nálmajlik	nálmajlik	nálmajl	TRUE	TRUE	TRUE
fl	ad	áz	fladázik	fladázik	fladáz	TRUE	TRUE	TRUE
s	ír	edz	síredzik	síredzik	síredz	TRUE	FALSE	TRUE
fl	í©	az	flí©azik	flígyazik	flí©az	TRUE	TRUE	TRUE
