onset	v1c1c2	v2c3c4	tr	word	vowel_skeleton	consonant_skeleton
	ag	á¥l	agá¥lik	agánylik	aái	g¥lk
	ag	ádz	agádzik	agádzik	aái	gdzk
	ag	árz	agárzik	agárzik	aái	grzk
	ág	adz	ágadzik	ágadzik	áai	gdzk
	ág	ajl	ágajlik	ágajlik	áai	gjlk
	ág	akl	ágaklik	ágaklik	áai	gklk
	ág	akß	ágakßik	ágakszik	áai	gkßk
	ág	aml	ágamlik	ágamlik	áai	gmlk
	ág	apß	ágapßik	ágapszik	áai	gpßk
	ág	arz	ágarzik	ágarzik	áai	grzk
	ág	asl	ágaslik	ágaslik	áai	gslk
	al	á¥l	alá¥lik	alánylik	aái	l¥lk
	al	ádz	aládzik	aládzik	aái	ldzk
	al	ágl	aláglik	aláglik	aái	lglk
	al	ágz	alágzik	alágzik	aái	lgzk
	al	árz	alárzik	alárzik	aái	lrzk
	ál	adz	áladzik	áladzik	áai	ldzk
	ál	agl	álaglik	álaglik	áai	lglk
	ál	agß	álagßik	álagszik	áai	lgßk
	ál	agz	álagzik	álagzik	áai	lgzk
	ál	ajl	álajlik	álajlik	áai	ljlk
	ál	akl	álaklik	álaklik	áai	lklk
	ál	akß	álakßik	álakszik	áai	lkßk
	ál	aml	álamlik	álamlik	áai	lmlk
	ál	apß	álapßik	álapszik	áai	lpßk
	ál	arz	álarzik	álarzik	áai	lrzk
	ál	asl	álaslik	álaslik	áai	lslk
	ar	á¥l	ará¥lik	aránylik	aái	r¥lk
	ar	ádz	arádzik	arádzik	aái	rdzk
	ar	ágl	aráglik	aráglik	aái	rglk
	ar	ágz	arágzik	arágzik	aái	rgzk
	ár	adz	áradzik	áradzik	áai	rdzk
	ár	agl	áraglik	áraglik	áai	rglk
	ár	agß	áragßik	áragszik	áai	rgßk
	ár	agz	áragzik	áragzik	áai	rgzk
	ár	ajl	árajlik	árajlik	áai	rjlk
	ár	akl	áraklik	áraklik	áai	rklk
	ár	akß	árakßik	árakszik	áai	rkßk
	ár	aml	áramlik	áramlik	áai	rmlk
	ár	apß	árapßik	árapszik	áai	rpßk
	ár	asl	áraslik	áraslik	áai	rslk
	arj	á¥l	arjá¥lik	arjánylik	aái	rj¥lk
	arj	ádz	arjádzik	arjádzik	aái	rjdzk
