onset	v	c1c2	tr	word
	a	¥l	a¥lik	anylik
	a	bz	abzik	abzik
	a	dl	adlik	adlik
	a	gl	aglik	aglik
	a	gr	agrik	agrik
	a	gß	agßik	agszik
	a	gz	agzik	agzik
	a	jl	ajlik	ajlik
	a	jz	ajzik	ajzik
	a	kl	aklik	aklik
	a	kß	akßik	akszik
	a	ll	allik	allik
	a	ml	amlik	amlik
	a	ng	angik	angik
	a	rd	ardik	ardik
	a	rl	arlik	arlik
	a	rz	arzik	arzik
	a	sd	asdik	asdik
	a	sl	aslik	aslik
	a	ßl	aßlik	aszlik
	a	tl	atlik	atlik
	a	tß	atßik	atszik
	a	zl	azlik	azlik
	a	zz	azzik	azzik
	á	¥l	á¥lik	ánylik
	á	bz	ábzik	ábzik
	á	dl	ádlik	ádlik
	á	gl	áglik	áglik
	á	gr	ágrik	ágrik
	á	gß	ágßik	ágszik
	á	gz	ágzik	ágzik
	á	jl	ájlik	ájlik
	á	jz	ájzik	ájzik
	á	kl	áklik	áklik
	á	kß	ákßik	ákszik
	á	ll	állik	állik
	á	lß	álßik	álszik
	á	ml	ámlik	ámlik
	á	ng	ángik	ángik
	á	rd	árdik	árdik
	á	rl	árlik	árlik
	á	rz	árzik	árzik
	á	sd	ásdik	ásdik
	á	sl	áslik	áslik
	á	ßl	áßlik	ászlik
	á	ßp	áßpik	ászpik
	á	tl	átlik	átlik
	á	tß	átßik	átszik
	á	zl	ázlik	ázlik
	á	zz	ázzik	ázzik
	e	¥l	e¥lik	enylik
	e	bz	ebzik	ebzik
	e	dl	edlik	edlik
	e	gl	eglik	eglik
	e	gr	egrik	egrik
	e	gß	egßik	egszik
	e	gz	egzik	egzik
	e	jl	ejlik	ejlik
	e	jz	ejzik	ejzik
	e	kl	eklik	eklik
	e	kß	ekßik	ekszik
	e	lß	elßik	elszik
	e	ml	emlik	emlik
	e	ng	engik	engik
	e	rd	erdik	erdik
	e	rl	erlik	erlik
	e	rz	erzik	erzik
	e	sd	esdik	esdik
	e	sl	eslik	eslik
	e	ßl	eßlik	eszlik
	e	ßp	eßpik	eszpik
	e	tl	etlik	etlik
	e	tß	etßik	etszik
	e	zl	ezlik	ezlik
	e	zz	ezzik	ezzik
	é	¥l	é¥lik	énylik
	é	bz	ébzik	ébzik
	é	dl	édlik	édlik
	é	gl	églik	églik
	é	gr	égrik	égrik
	é	gß	égßik	égszik
	é	gz	égzik	égzik
	é	jl	éjlik	éjlik
	é	jz	éjzik	éjzik
	é	kl	éklik	éklik
	é	kß	ékßik	ékszik
	é	ll	éllik	éllik
	é	lß	élßik	élszik
	é	ml	émlik	émlik
	é	ng	éngik	éngik
	é	rd	érdik	érdik
	é	rl	érlik	érlik
	é	rz	érzik	érzik
	é	sd	ésdik	ésdik
	é	sl	éslik	éslik
	é	ßl	éßlik	észlik
	é	ßp	éßpik	észpik
	é	tl	étlik	étlik
	é	tß	étßik	étszik
	é	zl	ézlik	ézlik
	é	zz	ézzik	ézzik
	i	¥l	i¥lik	inylik
	i	bz	ibzik	ibzik
	i	dl	idlik	idlik
	i	gl	iglik	iglik
	i	gr	igrik	igrik
	i	gß	igßik	igszik
	i	gz	igzik	igzik
	i	jl	ijlik	ijlik
	i	jz	ijzik	ijzik
	i	kl	iklik	iklik
	i	kß	ikßik	ikszik
	i	lß	ilßik	ilszik
	i	ml	imlik	imlik
	i	ng	ingik	ingik
	i	rd	irdik	irdik
	i	rl	irlik	irlik
	i	rz	irzik	irzik
	i	sd	isdik	isdik
	i	sl	islik	islik
	i	ßl	ißlik	iszlik
	i	ßp	ißpik	iszpik
	i	tl	itlik	itlik
	i	tß	itßik	itszik
	i	zl	izlik	izlik
	í	¥l	í¥lik	ínylik
	í	bz	íbzik	íbzik
	í	dl	ídlik	ídlik
	í	gl	íglik	íglik
	í	gr	ígrik	ígrik
	í	gß	ígßik	ígszik
	í	gz	ígzik	ígzik
	í	jl	íjlik	íjlik
	í	jz	íjzik	íjzik
	í	kl	íklik	íklik
	í	kß	íkßik	íkszik
	í	ll	íllik	íllik
	í	lß	ílßik	ílszik
	í	ml	ímlik	ímlik
	í	ng	íngik	íngik
	í	rd	írdik	írdik
	í	rl	írlik	írlik
	í	rz	írzik	írzik
