onset	v	c1c2	tr	word
	a	¥l	a¥lik	anylik
	a	bz	abzik	abzik
	a	dl	adlik	adlik
	a	gl	aglik	aglik
	a	gz	agzik	agzik
	a	jl	ajlik	ajlik
	a	jz	ajzik	ajzik
	a	kl	aklik	aklik
	a	kß	akßik	akszik
	a	lß	alßik	alszik
	a	ml	amlik	amlik
	a	rd	ardik	ardik
	a	rl	arlik	arlik
	a	rz	arzik	arzik
	a	sl	aslik	aslik
	a	ßl	aßlik	aszlik
	a	tl	atlik	atlik
	a	tß	atßik	atszik
	a	zl	azlik	azlik
	á	¥l	á¥lik	ánylik
	á	bz	ábzik	ábzik
	á	dl	ádlik	ádlik
	á	gl	áglik	áglik
	á	gz	ágzik	ágzik
	á	jl	ájlik	ájlik
	á	jz	ájzik	ájzik
	á	kl	áklik	áklik
	á	kß	ákßik	ákszik
	á	lß	álßik	álszik
	á	ml	ámlik	ámlik
	á	rd	árdik	árdik
	á	rl	árlik	árlik
	á	rz	árzik	árzik
	á	sl	áslik	áslik
	á	ßl	áßlik	ászlik
	á	tl	átlik	átlik
	á	tß	átßik	átszik
	á	zl	ázlik	ázlik
	e	¥l	e¥lik	enylik
	e	bz	ebzik	ebzik
	e	dl	edlik	edlik
	e	gl	eglik	eglik
	e	gz	egzik	egzik
	e	jl	ejlik	ejlik
	e	jz	ejzik	ejzik
	e	kl	eklik	eklik
	e	kß	ekßik	ekszik
	e	lß	elßik	elszik
	e	ml	emlik	emlik
	e	rd	erdik	erdik
	e	rl	erlik	erlik
	e	rz	erzik	erzik
	e	sl	eslik	eslik
	e	ßl	eßlik	eszlik
	e	tl	etlik	etlik
	e	tß	etßik	etszik
	e	zl	ezlik	ezlik
	é	¥l	é¥lik	énylik
	é	bz	ébzik	ébzik
	é	dl	édlik	édlik
	é	gl	églik	églik
	é	gz	égzik	égzik
	é	jl	éjlik	éjlik
	é	jz	éjzik	éjzik
	é	kl	éklik	éklik
	é	kß	ékßik	ékszik
	é	lß	élßik	élszik
	é	ml	émlik	émlik
	é	rd	érdik	érdik
	é	rl	érlik	érlik
	é	rz	érzik	érzik
	é	sl	éslik	éslik
	é	ßl	éßlik	észlik
	é	tl	étlik	étlik
	é	tß	étßik	étszik
	é	zl	ézlik	ézlik
	i	¥l	i¥lik	inylik
	i	bz	ibzik	ibzik
	i	dl	idlik	idlik
	i	gl	iglik	iglik
	i	gz	igzik	igzik
	i	jl	ijlik	ijlik
	i	jz	ijzik	ijzik
	i	kl	iklik	iklik
	i	kß	ikßik	ikszik
	i	lß	ilßik	ilszik
	i	ml	imlik	imlik
	i	rd	irdik	irdik
	i	rl	irlik	irlik
	i	rz	irzik	irzik
	i	sl	islik	islik
	i	ßl	ißlik	iszlik
	i	tl	itlik	itlik
	i	tß	itßik	itszik
	i	zl	izlik	izlik
	í	¥l	í¥lik	ínylik
	í	bz	íbzik	íbzik
	í	dl	ídlik	ídlik
	í	gl	íglik	íglik
	í	gz	ígzik	ígzik
	í	jl	íjlik	íjlik
	í	jz	íjzik	íjzik
	í	kl	íklik	íklik
	í	kß	íkßik	íkszik
	í	lß	ílßik	ílszik
	í	ml	ímlik	ímlik
	í	rd	írdik	írdik
	í	rl	írlik	írlik
	í	rz	írzik	írzik
	í	sl	íslik	íslik
	í	ßl	íßlik	íszlik
	í	tl	ítlik	ítlik
	í	tß	ítßik	ítszik
	í	zl	ízlik	ízlik
	o	¥l	o¥lik	onylik
	o	bz	obzik	obzik
	o	dl	odlik	odlik
	o	gl	oglik	oglik
	o	gz	ogzik	ogzik
	o	jl	ojlik	ojlik
	o	jz	ojzik	ojzik
	o	kl	oklik	oklik
	o	kß	okßik	okszik
	o	lß	olßik	olszik
	o	ml	omlik	omlik
	o	rd	ordik	ordik
	o	rl	orlik	orlik
	o	rz	orzik	orzik
	o	sl	oslik	oslik
	o	ßl	oßlik	oszlik
	o	tl	otlik	otlik
	o	tß	otßik	otszik
	o	zl	ozlik	ozlik
	ö	¥l	ö¥lik	önylik
	ö	bz	öbzik	öbzik
	ö	dl	ödlik	ödlik
	ö	gl	öglik	öglik
	ö	gz	ögzik	ögzik
	ö	jl	öjlik	öjlik
	ö	jz	öjzik	öjzik
	ö	kl	öklik	öklik
