form_1	freq_1	stem	xpostag	variation	lemma_freq_corrected	corpus_size	form_2	freq_2	odds	log_odds	base	derivational	nsyl	base_tr	suffix	vowel	darab
ábrándozok	284	ábrándozo	[/V][Prs.NDef.1Sg]	lakom/lakok	18385	8570080167	ábrándozom	610	0.4664484451718494	-0.7626077789029448	ábrándozik	zik	3	ábrándozik	NA	NA	NA
adakozok	180	adakozo	[/V][Prs.NDef.1Sg]	lakom/lakok	17936	8570080167	adakozom	168	1.0710059171597632	0.0685983163427522	adakozik	zik	3	adakozik	NA	NA	NA
adaptálódok	10	adaptálódo	[/V][Prs.NDef.1Sg]	lakom/lakok	4014	8570080167	adaptálódom	7	1.375	0.3184537311185346	adaptálódik	NA	4	adaptálódik	NA	NA	NA
adódok	24	adódo	[/V][Prs.NDef.1Sg]	lakom/lakok	313753	8570080167	adódom	5	4.166666666666667	1.4271163556401458	adódik	NA	2	adódik	NA	NA	NA
adósodok	2	adósodo	[/V][Prs.NDef.1Sg]	lakom/lakok	5682	8570080167	adósodom	2	1	0	adósodik	NA	3	adósodik	NA	NA	NA
ágaskodok	8	ágaskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	5740	8570080167	ágaskodom	26	0.3333333333333333	-1.0986122886681098	ágaskodik	NA	3	ágaskodik	NA	NA	NA
aggályoskodok	4	aggályoskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	683	8570080167	aggályoskodom	18	0.2631578947368421	-1.3350010667323402	aggályoskodik	NA	4	aggá¬oskodik	NA	NA	NA
aggodalmaskodok	60	aggodalmaskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	9029	8570080167	aggodalmaskodom	185	0.3279569892473118	-1.11487280953989	aggodalmaskodik	NA	5	aggodalmaskodik	NA	NA	NA
aggódok	4074	aggódo	[/V][Prs.NDef.1Sg]	lakom/lakok	341034	8570080167	aggódom	20869	0.19525634882606613	-1.6334419743962834	aggódik	NA	2	aggódik	NA	NA	NA
áhítozok	74	áhítozo	[/V][Prs.NDef.1Sg]	lakom/lakok	9214	8570080167	áhítozom	551	0.1358695652173913	-1.9960599327407849	áhítozik	zik	3	áhítozik	NA	NA	NA
ajánlkozok	7	ajánlkozo	[/V][Prs.NDef.1Sg]	lakom/lakok	4605	8570080167	ajánlkozom	71	0.1111111111111111	-2.1972245773362196	ajánlkozik	zik	3	ajánlkozik	NA	NA	NA
ájtatoskodok	2	ájtatoskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	525	8570080167	ájtatoskodom	1	1.5	0.4054651081081644	ájtatoskodik	NA	4	ájtatoskodik	NA	NA	NA
akadékoskodok	102	akadékoskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	3726	8570080167	akadékoskodom	88	1.1573033707865168	0.14609261849749589	akadékoskodik	NA	5	akadékoskodik	NA	NA	NA
akaratoskodok	1	akaratoskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	199	8570080167	akaratoskodom	4	0.4	-0.916290731874155	akaratoskodik	NA	5	akaratoskodik	NA	NA	NA
akaszkodok	11	akaszkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	2721	8570080167	akaszkodom	29	0.4	-0.916290731874155	akaszkodik	NA	3	akaßkodik	NA	NA	NA
akklimatizálódok	6	akklimatizálódo	[/V][Prs.NDef.1Sg]	lakom/lakok	2558	8570080167	akklimatizálódom	21	0.3181818181818182	-1.1451323043030026	akklimatizálódik	NA	6	akklimatizálódik	NA	NA	NA
aktiválódok	4	aktiválódo	[/V][Prs.NDef.1Sg]	lakom/lakok	26386	8570080167	aktiválódom	1	2.5	0.9162907318741552	aktiválódik	NA	4	aktiválódik	NA	NA	NA
alacsonyodok	52	alacsonyodo	[/V][Prs.NDef.1Sg]	lakom/lakok	1870	8570080167	alacsonyodom	31	1.65625	0.5045560107523953	alacsonyodik	NA	4	alaço¥odik	NA	NA	NA
alakoskodok	17	alakoskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	1461	8570080167	alakoskodom	16	1.0588235294117647	0.05715841383994862	alakoskodik	NA	4	alakoskodik	NA	NA	NA
alázkodok	24	alázkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	1842	8570080167	alázkodom	46	0.5319148936170213	-0.6312717768418579	alázkodik	NA	3	alázkodik	NA	NA	NA
aljaskodok	4	aljaskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	150	8570080167	aljaskodom	1	2.5	0.9162907318741552	aljaskodik	NA	3	aljaskodik	NA	NA	NA
aljasodok	5	aljasodo	[/V][Prs.NDef.1Sg]	lakom/lakok	367	8570080167	aljasodom	1	3	1.0986122886681098	aljasodik	NA	3	aljasodik	NA	NA	NA
alkalmatlankodok	8	alkalmatlankodo	[/V][Prs.NDef.1Sg]	lakom/lakok	918	8570080167	alkalmatlankodom	71	0.125	-2.0794415416798357	alkalmatlankodik	NA	5	alkalmatlankodik	NA	NA	NA
alkalmazkodok	406	alkalmazkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	223170	8570080167	alkalmazkodom	1271	0.3199685534591195	-1.1395325584574725	alkalmazkodik	NA	4	alkalmazkodik	NA	NA	NA
alkudok	28	alkudo	[/V][Prs.NDef.1Sg]	lakom/lakok	17918	8570080167	alkudom	2	9.666666666666666	2.268683541318364	alkudik	NA	2	alkudik	NA	NA	NA
alkudozok	131	alkudozo	[/V][Prs.NDef.1Sg]	lakom/lakok	14494	8570080167	alkudozom	234	0.5617021276595745	-0.576783591557788	alkudozik	zik	3	alkudozik	NA	NA	NA
alkuszok	2	alkuszo	[/V][Prs.NDef.1Sg]	lakom/lakok	17918	8570080167	alkuszom	229	0.01304347826086956	-4.339467020255086	alkuszik	szik	2	alkußik	NA	NA	NA
állomásozok	10	állomásozo	[/V][Prs.NDef.1Sg]	lakom/lakok	17398	8570080167	állomásozom	33	0.3235294117647059	-1.128465251817791	állomásozik	zik	4	állomásozik	NA	NA	NA
álmélkodok	19	álmélkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	5761	8570080167	álmélkodom	81	0.24390243902439024	-1.410986973710262	álmélkodik	NA	3	álmélkodik	NA	NA	NA
álmodok	3404	álmodo	[/V][Prs.NDef.1Sg]	lakom/lakok	223489	8570080167	álmodom	12045	0.28266644529304336	-1.2634877150200536	álmodik	NA	2	álmodik	NA	NA	NA
álmodozok	532	álmodozo	[/V][Prs.NDef.1Sg]	lakom/lakok	59984	8570080167	álmodozom	2628	0.20273868391023203	-1.5958374005640366	álmodozik	zik	3	álmodozik	NA	NA	NA
álmosodok	29	álmosodo	[/V][Prs.NDef.1Sg]	lakom/lakok	1357	8570080167	álmosodom	53	0.5555555555555556	-0.587786664902119	álmosodik	NA	3	álmosodik	NA	NA	NA
álszenteskedek	18	álszenteskede	[/V][Prs.NDef.1Sg]	lakom/lakok	511	8570080167	álszenteskedem	4	3.8	1.33500106673234	álszenteskedik	NA	4	álßenteskedik	NA	NA	NA
alszok	4196	alszo	[/V][Prs.NDef.1Sg]	lakom/lakok	668614	8570080167	alszom	31548	0.13303115788139086	-2.0171719084123705	alszik	szik	1	alßik	NA	NA	NA
aluszok	12	aluszo	[/V][Prs.NDef.1Sg]	lakom/lakok	668614	8570080167	aluszom	80	0.16049382716049382	-1.8294997972109024	aluszik	szik	2	alußik	NA	NA	NA
amerikanizálódok	1	amerikanizálódo	[/V][Prs.NDef.1Sg]	lakom/lakok	270	8570080167	amerikanizálódom	1	1	0	amerikanizálódik	NA	7	amerikanizálódik	NA	NA	NA
amortizálódok	2	amortizálódo	[/V][Prs.NDef.1Sg]	lakom/lakok	3122	8570080167	amortizálódom	1	1.5	0.4054651081081644	amortizálódik	NA	5	amortizálódik	NA	NA	NA
ámuldozok	55	ámuldozo	[/V][Prs.NDef.1Sg]	lakom/lakok	3333	8570080167	ámuldozom	47	1.1666666666666667	0.15415067982725836	ámuldozik	zik	3	ámuldozik	NA	NA	NA
andalodok	8	andalodo	[/V][Prs.NDef.1Sg]	lakom/lakok	304	8570080167	andalodom	1	4.5	1.5040773967762742	andalodik	NA	3	andalodik	NA	NA	NA
anekdotázok	16	anekdotázo	[/V][Prs.NDef.1Sg]	lakom/lakok	1972	8570080167	anekdotázom	10	1.5454545454545454	0.4353180712578455	anekdotázik	zik	4	anekdotázik	NA	NA	NA
anyáskodok	7	anyáskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	1025	8570080167	anyáskodom	12	0.6153846153846154	-0.4855078157817008	anyáskodik	NA	3	a¥áskodik	NA	NA	NA
apostolkodok	2	apostolkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	686	8570080167	apostolkodom	1	1.5	0.4054651081081644	apostolkodik	NA	4	apostolkodik	NA	NA	NA
ármánykodok	2	ármánykodo	[/V][Prs.NDef.1Sg]	lakom/lakok	992	8570080167	ármánykodom	1	1.5	0.4054651081081644	ármánykodik	NA	3	ármá¥kodik	NA	NA	NA
árulkodok	29	árulkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	62655	8570080167	árulkodom	25	1.1538461538461535	0.14310084364067324	árulkodik	NA	3	árulkodik	NA	NA	NA
ásítozok	129	ásítozo	[/V][Prs.NDef.1Sg]	lakom/lakok	3555	8570080167	ásítozom	113	1.1403508771929824	0.13133600206108695	ásítozik	zik	3	ásítozik	NA	NA	NA
áskálódok	13	áskálódo	[/V][Prs.NDef.1Sg]	lakom/lakok	1964	8570080167	áskálódom	12	1.0769230769230769	0.074107972153721835	áskálódik	NA	3	áskálódik	NA	NA	NA
asszimilálódok	12	asszimilálódo	[/V][Prs.NDef.1Sg]	lakom/lakok	5757	8570080167	asszimilálódom	6	1.8571428571428572	0.6190392084062235	asszimilálódik	NA	5	asßimilálódik	NA	NA	NA
aszalódok	26	aszalódo	[/V][Prs.NDef.1Sg]	lakom/lakok	2207	8570080167	aszalódom	21	1.2272727272727273	0.2047944126460132	aszalódik	NA	3	aßalódik	NA	NA	NA
aszok	147	aszo	[/V][Prs.NDef.1Sg]	lakom/lakok	5633	8570080167	aszom	21	6.7272727272727275	1.9061698204057993	aszik	szik	1	aßik	NA	NA	NA
átkozódok	13	átkozódo	[/V][Prs.NDef.1Sg]	lakom/lakok	3739	8570080167	átkozódom	60	0.22950819672131148	-1.4718165345580525	átkozódik	NA	3	átkozódik	NA	NA	NA
autókázok	29	autókázo	[/V][Prs.NDef.1Sg]	lakom/lakok	2943	8570080167	autókázom	18	1.5789473684210529	0.4567584024957149	autókázik	zik	4	autókázik	NA	NA	NA
autózok	544	autózo	[/V][Prs.NDef.1Sg]	lakom/lakok	53397	8570080167	autózom	1088	0.5004591368227732	-0.6922293282697164	autózik	zik	3	autózik	NA	NA	NA
avatkozok	139	avatkozo	[/V][Prs.NDef.1Sg]	lakom/lakok	45734	8570080167	avatkozom	448	0.311804008908686	-1.16538046513295	avatkozik	zik	3	avatkozik	NA	NA	NA
bábáskodok	12	bábáskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	5536	8570080167	bábáskodom	32	0.3939393939393939	-0.9315582040049436	bábáskodik	NA	3	bábáskodik	NA	NA	NA
bajlódok	373	bajlódo	[/V][Prs.NDef.1Sg]	lakom/lakok	39724	8570080167	bajlódom	377	0.9894179894179894	-0.01063839820505575	bajlódik	NA	2	bajlódik	NA	NA	NA
bajoskodok	1	bajoskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	101	8570080167	bajoskodom	3	0.5	-0.6931471805599453	bajoskodik	NA	3	bajoskodik	NA	NA	NA
bakizok	24	bakizo	[/V][Prs.NDef.1Sg]	lakom/lakok	1995	8570080167	bakizom	13	1.7857142857142858	0.5798184952529422	bakizik	zik	2	bakizik	NA	NA	NA
balhézok	112	balhézo	[/V][Prs.NDef.1Sg]	lakom/lakok	6131	8570080167	balhézom	5	18.833333333333332	2.9356283494842854	balhézik	zik	2	balhézik	NA	NA	NA
bámészkodok	110	bámészkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	6070	8570080167	bámészkodom	134	0.8222222222222222	-0.19574457712609536	bámészkodik	NA	3	báméßkodik	NA	NA	NA
bánkódok	143	bánkódo	[/V][Prs.NDef.1Sg]	lakom/lakok	14891	8570080167	bánkódom	467	0.3076923076923077	-1.1786549963416462	bánkódik	NA	2	bánkódik	NA	NA	NA
bántódok	10	bántódo	[/V][Prs.NDef.1Sg]	lakom/lakok	1216	8570080167	bántódom	7	1.375	0.3184537311185346	bántódik	NA	2	bántódik	NA	NA	NA
barátkozok	287	barátkozo	[/V][Prs.NDef.1Sg]	lakom/lakok	50745	8570080167	barátkozom	2017	0.1427155599603568	-1.9469017207776085	barátkozik	zik	3	barátkozik	NA	NA	NA
