form_1	freq_1	stem	xpostag	variation	lemma_freq_corrected	corpus_size	form_2	freq_2	odds	log_odds	suffix	vowel	base	base_tr
játékban	203167	játék	[/N][Ine]	hotelban/hotelben	3685489	8570080167	játékben	99	2031.68	7.616618315982085	ban	é	játék	játék
játékra	87601	játék	[/N][Subl]	hotelban/hotelben	3685489	8570080167	játékre	24	3504.08	8.161683282845885	NA	é	játék	játék
játékba	60196	játék	[/N][Ill]	hotelban/hotelben	3685489	8570080167	játékbe	10	5472.454545454545	8.607482523369749	NA	é	játék	játék
játéknak	57218	játék	[/N][Dat]	hotelban/hotelben	3685489	8570080167	játéknek	10	5201.727272727273	8.556746017246166	nak	é	játék	játék
kastélyban	33676	kastély	[/N][Ine]	hotelban/hotelben	320792	8570080167	kastélyben	13	2405.5	7.7855130611395085	ban	é	kastély	kasté¬
szomszédban	23555	szomszéd	[/N][Ine]	hotelban/hotelben	463192	8570080167	szomszédben	26	872.4444444444445	6.771298978060132	ban	é	szomszéd	ßomßéd
tányérra	22065	tányér	[/N][Subl]	hotelban/hotelben	157436	8570080167	tányérre	25	848.6923076923077	6.743696703298769	NA	é	tányér	tá¥ér
árnyékban	21244	árnyék	[/N][Ine]	hotelban/hotelben	251729	8570080167	árnyékben	43	482.84090909090907	6.179687218630651	ban	é	árnyék	ár¥ék
húsvétra	18684	húsvét	[/N][Subl]	hotelban/hotelben	195283	8570080167	húsvétre	12	1437.3076923076924	7.270526984458048	NA	é	húsvét	húsvét
athénban	13896	athén	[/N][Ine]	hotelban/hotelben	51859	8570080167	athénben	2097	6.623927550047664	1.8906884795303396	ban	é	athén	athén
szomszédba	13246	szomszéd	[/N][Ill]	hotelban/hotelben	463192	8570080167	szomszédbe	3	3311.75	8.105232029564371	NA	é	szomszéd	ßomßéd
pótlékra	13158	pótlék	[/N][Subl]	hotelban/hotelben	138201	8570080167	pótlékre	1	6579.5	8.791714033590194	NA	é	pótlék	pótlék
játéknál	12208	játék	[/N][Ade]	hotelban/hotelben	3685489	8570080167	játéknél	14	813.9333333333333	6.701878462566645	nál	é	játék	játék
fazékba	10788	fazék	[/N][Ill]	hotelban/hotelben	47132	8570080167	fazékbe	3	2697.25	7.899988014431449	NA	é	fazék	fazék
fazékban	9920	fazék	[/N][Ine]	hotelban/hotelben	47132	8570080167	fazékben	23	413.375	6.0243551713019565	ban	é	fazék	fazék
árnyékba	8169	árnyék	[/N][Ill]	hotelban/hotelben	251729	8570080167	árnyékbe	4	1634	7.3987862754199485	NA	é	árnyék	ár¥ék
szomszédnak	6602	szomszéd	[/N][Dat]	hotelban/hotelben	463192	8570080167	szomszédnek	2	2201	7.696667081526462	nak	é	szomszéd	ßomßéd
tányérba	6270	tányér	[/N][Ill]	hotelban/hotelben	157436	8570080167	tányérbe	8	696.7777777777778	6.546466533206802	NA	é	tányér	tá¥ér
szándéknak	6201	szándék	[/N][Dat]	hotelban/hotelben	734342	8570080167	szándéknek	1	3101	8.03947991910045	nak	é	szándék	ßándék
panelban	4832	panel	[/N][Ine]	hotelban/hotelben	223571	8570080167	panelben	4651	1.0389079965606192	0.03817015820652909	ban	e	panel	panel
poénnak	4075	poén	[/N][Dat]	hotelban/hotelben	131624	8570080167	poénnek	15	254.75	5.540282672102834	nak	é	poén	poén
fotelban	4069	fotel	[/N][Ine]	hotelban/hotelben	70961	8570080167	fotelben	8185	0.4971903249450281	-0.6987823786157077	ban	e	fotel	fotel
hotelban	4069	hotel	[/N][Ine]	hotelban/hotelben	789022	8570080167	hotelben	57356	0.0709590808445351	-2.6456518942138727	ban	e	hotel	hotel
szándékra	3820	szándék	[/N][Subl]	hotelban/hotelben	734342	8570080167	szándékre	1	1910.5	7.555120266886955	NA	é	szándék	ßándék
pótlékban	3549	pótlék	[/N][Ine]	hotelban/hotelben	138201	8570080167	pótlékben	10	322.72727272727275	5.776807609671091	ban	é	pótlék	pótlék
kastélynak	3275	kastély	[/N][Dat]	hotelban/hotelben	320792	8570080167	kastélynek	1	1638	7.401231264413015	nak	é	kastély	kasté¬
havernak	3259	haver	[/N][Dat]	hotelban/hotelben	165801	8570080167	havernek	161	20.123456790123456	3.001886139128369	nak	e	haver	haver
fotelba	3232	fotel	[/N][Ill]	hotelban/hotelben	70961	8570080167	fotelbe	3212	1.006224712107065	0.00620541860957467	NA	e	fotel	fotel
athénba	2947	athén	[/N][Ill]	hotelban/hotelben	51859	8570080167	athénbe	470	6.259023354564756	1.8340241592928097	NA	é	athén	athén
tányérban	2603	tányér	[/N][Ine]	hotelban/hotelben	157436	8570080167	tányérben	1	1302	7.171656822768514	ban	é	tányér	tá¥ér
páncélba	2586	páncél	[/N][Ill]	hotelban/hotelben	48853	8570080167	páncélbe	2	862.3333333333334	6.7596418935179194	NA	é	páncél	páncél
farmerban	2327	farmer	[/N][Ine]	hotelban/hotelben	82647	8570080167	farmerben	3390	0.6865231495134179	-0.3761153332743102	ban	e	farmer	farmer
