form_1	freq_1	stem	xpostag	variation	lemma_freq_corrected	corpus_size	form_2	freq_2	odds	log_odds	base	derivational	nsyl	base_tr
ábrándozok	284	ábrándozo	[/V][Prs.NDef.1Sg]	lakom/lakok	18385	8570080167	ábrándozom	610	0.4664484451718494	-0.7626077789029448	ábrándozik	zik	3	ábrándozik
adakozok	180	adakozo	[/V][Prs.NDef.1Sg]	lakom/lakok	17936	8570080167	adakozom	168	1.0710059171597632	0.0685983163427522	adakozik	zik	3	adakozik
adaptálódok	10	adaptálódo	[/V][Prs.NDef.1Sg]	lakom/lakok	4014	8570080167	adaptálódom	7	1.375	0.3184537311185346	adaptálódik	NA	4	adaptálódik
adódok	24	adódo	[/V][Prs.NDef.1Sg]	lakom/lakok	313753	8570080167	adódom	5	4.166666666666667	1.4271163556401458	adódik	NA	2	adódik
adósodok	2	adósodo	[/V][Prs.NDef.1Sg]	lakom/lakok	5682	8570080167	adósodom	2	1	0	adósodik	NA	3	adósodik
ágaskodok	8	ágaskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	5740	8570080167	ágaskodom	26	0.3333333333333333	-1.0986122886681098	ágaskodik	NA	3	ágaskodik
aggályoskodok	4	aggályoskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	683	8570080167	aggályoskodom	18	0.2631578947368421	-1.3350010667323402	aggályoskodik	NA	4	aggá¬oskodik
aggodalmaskodok	60	aggodalmaskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	9029	8570080167	aggodalmaskodom	185	0.3279569892473118	-1.11487280953989	aggodalmaskodik	NA	5	aggodalmaskodik
aggódok	4074	aggódo	[/V][Prs.NDef.1Sg]	lakom/lakok	341034	8570080167	aggódom	20869	0.19525634882606613	-1.6334419743962834	aggódik	NA	2	aggódik
áhítozok	74	áhítozo	[/V][Prs.NDef.1Sg]	lakom/lakok	9214	8570080167	áhítozom	551	0.1358695652173913	-1.9960599327407849	áhítozik	zik	3	áhítozik
