lemma	xpostag	corpus_size	lemma_freq	v1	v2	vh
ember	[/N][Nom]	8570080167	12052489	e	e	front
magyar	[/N][Nom]	8570080167	15355211	a	a	back
törvény	[/N][Nom]	8570080167	4867543	ö	é	front
program	[/N][Nom]	8570080167	7298683	o	a	back
város	[/N][Nom]	8570080167	5637165	á	o	back
idő	[/N][Nom]	8570080167	11861339	i	ő	front
rendszer	[/N][Nom]	8570080167	6622476	e	e	front
világ	[/N][Nom]	8570080167	6400361	i	á	mixed
isten	[/N][Nom]	8570080167	3680957	i	e	front
óra	[/N][Nom]	8570080167	6567202	ó	a	back
ország	[/N][Nom]	8570080167	5291725	o	á	back
szükség	[/N][Nom]	8570080167	3600756	ü	é	front
termék	[/N][Nom]	8570080167	5843362	e	é	front
munka	[/N][Nom]	8570080167	7150859	u	a	back
élet	[/N][Nom]	8570080167	8929540	é	e	front
május	[/N][Nom]	8570080167	2126663	á	u	back
dolog	[/N][Nom]	8570080167	5935394	o	o	back
kormány	[/N][Nom]	8570080167	2536896	o	á	back
család	[/N][Nom]	8570080167	4404879	a	á	back
férfi	[/N][Nom]	8570080167	3184852	é	i	front
kérdés	[/N][Nom]	8570080167	6276446	é	é	front
forint	[/N][Nom]	8570080167	3457516	o	i	mixed
személy	[/N][Nom]	8570080167	4147426	e	é	front
csapat	[/N][Nom]	8570080167	4069780	a	a	back
oldal	[/N][Nom]	8570080167	6453597	o	a	back
utca	[/N][Nom]	8570080167	2891471	u	a	back
gyermek	[/N][Nom]	8570080167	4762624	e	e	front
játék	[/N][Nom]	8570080167	3685489	á	é	mixed
helyzet	[/N][Nom]	8570080167	4301426	e	e	front
projekt	[/N][Nom]	8570080167	2236203	o	e	mixed
központ	[/N][Nom]	8570080167	2299918	ö	o	mixed
verseny	[/N][Nom]	8570080167	2745269	e	e	front
anyag	[/N][Nom]	8570080167	3900394	a	a	back
hónap	[/N][Nom]	8570080167	3524339	ó	a	back
csoport	[/N][Nom]	8570080167	2836896	o	o	back
elnök	[/N][Nom]	8570080167	2839019	e	ö	front
község	[/N][Nom]	8570080167	1189816	ö	é	front
gyerek	[/N][Nom]	8570080167	4411275	e	e	front
király	[/N][Nom]	8570080167	1341744	i	á	mixed
állam	[/N][Nom]	8570080167	1519607	á	a	back
alap	[/N][Nom]	8570080167	10011401	a	a	back
forrás	[/N][Nom]	8570080167	2520701	o	á	back
darab	[/N][Nom]	8570080167	2102928	a	a	back
század	[/N][Nom]	8570080167	1472351	á	a	back
szabó	[/N][Nom]	8570080167	826321	a	ó	back
osztály	[/N][Nom]	8570080167	1736774	o	á	back
megye	[/N][Nom]	8570080167	1373163	e	e	front
eszköz	[/N][Nom]	8570080167	3824424	e	ö	front
kovács	[/N][Nom]	8570080167	736216	o	á	back
tanács	[/N][Nom]	8570080167	1682327	a	á	back
válasz	[/N][Nom]	8570080167	2550464	á	a	back
szerző	[/N][Nom]	8570080167	1424449	e	ő	front
döntés	[/N][Nom]	8570080167	2408139	ö	é	front
lakás	[/N][Nom]	8570080167	2095176	a	á	back
képzés	[/N][Nom]	8570080167	1700566	é	é	front
tanár	[/N][Nom]	8570080167	1377890	a	á	back
adat	[/N][Nom]	8570080167	8347174	a	a	back
zene	[/N][Nom]	8570080167	1550903	e	e	front
hiba	[/N][Nom]	8570080167	1920776	i	a	mixed
fotó	[/N][Nom]	8570080167	1456361	o	ó	back
igény	[/N][Nom]	8570080167	3608489	i	é	front
arany	[/N][Nom]	8570080167	818042	a	a	back
téma	[/N][Nom]	8570080167	2557919	é	a	mixed
színház	[/N][Nom]	8570080167	1052744	í	á	mixed
hotel	[/N][Nom]	8570080167	789022	o	e	mixed
szöveg	[/N][Nom]	8570080167	1618992	ö	e	front
egyház	[/N][Nom]	8570080167	1050553	e	á	mixed
vizsga	[/N][Nom]	8570080167	1023780	i	a	mixed
példa	[/N][Nom]	8570080167	1647491	é	a	mixed
fiú	[/N][Nom]	8570080167	1334062	i	ú	mixed
összeg	[/N][Nom]	8570080167	2419674	ö	e	front
könyvtár	[/N][Nom]	8570080167	1067536	ö	á	mixed
modell	[/N][Nom]	8570080167	1509359	o	e	mixed
méter	[/N][Nom]	8570080167	1066392	é	e	front
érték	[/N][Nom]	8570080167	3484612	é	é	front
ábra	[/N][Nom]	8570080167	774007	á	a	back
módszer	[/N][Nom]	8570080167	2002818	ó	e	mixed
lényeg	[/N][Nom]	8570080167	1550179	é	e	front
élmény	[/N][Nom]	8570080167	1766757	é	é	front
orvos	[/N][Nom]	8570080167	1413413	o	o	back
templom	[/N][Nom]	8570080167	1299903	e	o	mixed
szoba	[/N][Nom]	8570080167	1798836	o	a	back
piac	[/N][Nom]	8570080167	1886265	i	a	mixed
péntek	[/N][Nom]	8570080167	1266193	é	e	front
érzés	[/N][Nom]	8570080167	1367402	é	é	front
varga	[/N][Nom]	8570080167	471933	a	a	back
egység	[/N][Nom]	8570080167	1406925	e	é	front
eset	[/N][Nom]	8570080167	13954450	e	e	front
csomag	[/N][Nom]	8570080167	1221186	o	a	back
kutya	[/N][Nom]	8570080167	1198993	u	a	back
adó	[/N][Nom]	8570080167	1553307	a	ó	back
szakasz	[/N][Nom]	8570080167	1499711	a	a	back
nemzet	[/N][Nom]	8570080167	834307	e	e	front
író	[/N][Nom]	8570080167	841570	í	ó	mixed
motor	[/N][Nom]	8570080167	1023286	o	o	back
lélek	[/N][Nom]	8570080167	1667188	é	e	front
lista	[/N][Nom]	8570080167	1524739	i	a	mixed
anya	[/N][Nom]	8570080167	1436550	a	a	back
lépés	[/N][Nom]	8570080167	1872249	é	é	front
falu	[/N][Nom]	8570080167	1044950	a	u	back
tudás	[/N][Nom]	8570080167	1315589	u	á	back
ötlet	[/N][Nom]	8570080167	1357821	ö	e	front
asszony	[/N][Nom]	8570080167	750047	a	o	back
beteg	[/N][Nom]	8570080167	1780039	e	e	front
ügyfél	[/N][Nom]	8570080167	1389616	ü	é	front
