trial_type,response,trial_kind,rt,choices,list_number,trial_index,stimulus,esp_response,response_string,esp_match
survey-text,"{""Q0"":""5f9eb8c1c1dc8505f5f1bcd4"",""Q1"":""férfi"",""Q2"":""1998"",""Q3"":""17""}",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,esp trial,60,"[""gyibeslek"",""gyibeslem""]",7,8,Te bizony sokat gyibeslesz. Én is sokat...,gyibeslem,gyibeslem,1
NA,1,esp trial,65,"[""rájzok"",""rájzom""]",7,10,Te bizony sokat rájzol. Én is sokat...,rájzom,rájzom,1
NA,0,esp trial,59,"[""vanylok"",""vanylom""]",7,12,Te bizony sokat vanylasz. Én is sokat...,vanylok,vanylok,1
NA,1,esp trial,54,"[""sztrijzok"",""sztrijzom""]",7,14,Te bizony sokat sztrijzol. Én is sokat...,sztrijzom,sztrijzom,1
NA,1,esp trial,58,"[""narádzok"",""narádzom""]",7,16,Te bizony sokat narádzol. Én is sokat...,narádzom,narádzom,1
NA,0,esp trial,54,"[""pribemlek"",""pribemlem""]",7,18,Te bizony sokat pribemlesz. Én is sokat...,pribemlek,pribemlek,1
NA,1,esp trial,67,"[""jonylom"",""jonylok""]",7,20,Te bizony sokat jonylasz. Én is sokat...,jonylok,jonylom,0
NA,1,esp trial,64,"[""trádlok"",""trádlom""]",7,22,Te bizony sokat trádlasz. Én is sokat...,trádlom,trádlom,1
NA,1,esp trial,82,"[""figlom"",""figlok""]",7,24,Te bizony sokat figlasz. Én is sokat...,figlom,figlom,1
NA,0,esp trial,50,"[""flehénylek"",""flehénylem""]",7,26,Te bizony sokat flehénylesz. Én is sokat...,flehénylek,flehénylek,1
NA,1,esp trial,73,"[""spáraklok"",""spáraklom""]",7,28,Te bizony sokat spáraklasz. Én is sokat...,spáraklom,spáraklom,1
NA,1,esp trial,73,"[""flehékszek"",""flehékszem""]",7,30,Te bizony sokat flehékszel. Én is sokat...,flehékszem,flehékszem,1
NA,1,esp trial,65,"[""hűgzöm"",""hűgzök""]",7,32,Te bizony sokat hűgzöl. Én is sokat...,hűgzöm,hűgzöm,1
NA,0,esp trial,75,"[""huroslok"",""huroslom""]",7,34,Te bizony sokat huroslasz. Én is sokat...,huroslok,huroslok,1
