form_1	freq_1	stem	xpostag	variation	lemma_freq_corrected	corpus_size	form_2	freq_2	odds	log_odds
alszana	4	al	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	221313766	8570080167	aludna	3486	0.0014338973329509608	-6.5473591342415505
alszani	5	al	[/V][Inf]	cselekszenek/cselekednek	221313766	8570080167	aludni	174630	3.435816092217304e-5	-10.278670986082385
alszotok	1079	al	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	221313766	8570080167	alusztok	417	2.583732057416268	0.9492348875935092
alszanak	33579	al	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	221313766	8570080167	alusznak	2311	14.524221453287197	2.675817700839264
áramlana	388	áram	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	13515798	8570080167	áramolna	201	1.9257425742574257	0.6553116462172415
áramlani	4182	áram	[/V][Inf]	cselekszenek/cselekednek	13515798	8570080167	áramolni	2624	1.5935238095238096	0.4659477964164743
áramlotok	6	áram	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	13515798	8570080167	áramoltok	8	0.7777777777777778	-0.25131442828090605
áramlanak	7478	áram	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	13515798	8570080167	áramolnak	988	7.562184024266936	2.0231600405689556
áramlottak	2178	áram	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	13515798	8570080167	áramoltak	231	9.392241379310345	2.23988396327831
bagzana	4	bag	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	7065	8570080167	bagozna	2	1.6666666666666667	0.5108256237659907
bagzani	57	bag	[/V][Inf]	cselekszenek/cselekednek	7065	8570080167	bagozni	21	2.6363636363636362	0.9694005571881035
bagzanak	57	bag	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	7065	8570080167	bagoznak	22	2.5217391304347827	0.9249487946172696
bagzottak	10	bag	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	7065	8570080167	bagoztak	13	0.7857142857142857	-0.2411620568168881
bicsaklani	17	bicsak	[/V][Inf]	cselekszenek/cselekednek	19938	8570080167	bicsakolni	1	9	2.1972245773362196
bomlana	245	bom	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	3187048	8570080167	bomolna	16	14.470588235294118	2.6721181918761467
bomlani	2324	bom	[/V][Inf]	cselekszenek/cselekednek	3187048	8570080167	bomolni	63	36.328125	3.592592234661785
bomlotok	7	bom	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	3187048	8570080167	bomoltok	1	4	1.3862943611198906
bomlanak	9236	bom	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	3187048	8570080167	bomolnak	74	123.16	4.8134843230563
