lemma	corpus_size	lemma_freq	category
dolgozik	8570080167	3627092	cvc
játszik	8570080167	2672605	cc
foglalkozik	8570080167	1809823	cvc
eszik	8570080167	1320365	cvc
működik	8570080167	2488856	cvc
gondoskodik	8570080167	785316	cvc
gondolkodik	8570080167	706718	cvc
jelentkezik	8570080167	1317571	cvc
válik	8570080167	4028540	cvc
találkozik	8570080167	1857559	cvc
utazik	8570080167	732800	cvc
iszik	8570080167	651299	cvc
esik	8570080167	1885634	cvc
fejlődik	8570080167	554541	cvc
csatlakozik	8570080167	869608	cvc
történik	8570080167	4203497	cvc
nyilatkozik	8570080167	726058	cvc
változik	8570080167	1725689	cvc
alkalmazkodik	8570080167	223170	cvc
pályázik	8570080167	247923	cvc
vitatkozik	8570080167	147337	cvc
tájékozódik	8570080167	282902	cvc
úszik	8570080167	228752	cvc
közlekedik	8570080167	287338	cvc
szórakozik	8570080167	197402	cvc
érdeklődik	8570080167	362506	cvc
védekezik	8570080167	166798	cvc
rendelkezik	8570080167	2695227	cvc
viselkedik	8570080167	307068	cvc
aggódik	8570080167	341034	cvc
imádkozik	8570080167	319092	cvc
unatkozik	8570080167	103069	cvc
tetszik	8570080167	1498478	cc
fotózik	8570080167	141775	cvc
emelkedik	8570080167	747438	cvc
csalódik	8570080167	170163	cvc
álmodik	8570080167	223489	cvc
gondolkozik	8570080167	253771	cvc
ismerkedik	8570080167	344220	cvc
hivatkozik	8570080167	508241	cvc
létezik	8570080167	1297361	cvc
érkezik	8570080167	2258874	cvc
lakik	8570080167	612717	cvc
próbálkozik	8570080167	323025	cvc
kapcsolódik	8570080167	635457	cvc
tartozik	8570080167	2020739	cvc
szokik	8570080167	1306902	cvc
mászik	8570080167	135247	cvc
tűnik	8570080167	2079177	cvc
távozik	8570080167	362436	cvc
kísérletezik	8570080167	111329	cvc
tartózkodik	8570080167	323534	cvc
intézkedik	8570080167	119410	cvc
uralkodik	8570080167	204714	cvc
csodálkozik	8570080167	200735	cvc
látszik	8570080167	1217735	cc
vadászik	8570080167	98441	cvc
horgászik	8570080167	54507	cvc
költözik	8570080167	393996	cvc
hazudik	8570080167	206336	cvc
