"word";"lemma";"freq";"lemmafreq";"syllable_count";"analysis";"pos";"cv_skeleton"
"tanévben";"tanév";"13034";"39284";"3";"NOUN<CAS<INE>>";"NOUN";"cvcvccvc"
"sorrendben";"sorrend";"12210";"34853";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvcccvc"
"háttérbe";"háttér";"9756";"74338";"3";"NOUN<CAS<ILL>>";"NOUN";"cvccvccv"
"háttérben";"háttér";"8595";"74338";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvccvc"
"játékban";"játék";"6501";"130761";"3";"NOUN<CAS<INE>>";"NOUN";"cvcvccvc"
"tanévre";"tanév";"3014";"39284";"3";"NOUN<CAS<SBL>>";"NOUN";"cvcvccv"
"játékra";"játék";"2914";"130761";"3";"NOUN<CAS<SBL>>";"NOUN";"cvcvccv"
"játéknak";"játék";"2492";"130761";"3";"NOUN<CAS<DAT>>";"NOUN";"cvcvccvc"
"játékba";"játék";"2484";"130761";"3";"NOUN<CAS<ILL>>";"NOUN";"cvcvccv"
"kastélyban";"kastély";"2424";"19527";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvccvc"
"tantervben";"tanterv";"2407";"35553";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvcccvc"
"projektben";"projekt";"2302";"71088";"3";"NOUN<CAS<INE>>";"NOUN";"ccvcvcccvc"
"Józsefnek";"József";"2218";"112018";"3";"NOUN<CAS<DAT>>";"NOUN";"cvcvccvc"
"módszernek";"módszer";"2005";"160008";"3";"NOUN<CAS<DAT>>";"NOUN";"cvccvccvc"
"partnernek";"partner";"1863";"114379";"3";"NOUN<CAS<DAT>>";"NOUN";"cvcccvccvc"
"koncertre";"koncert";"1851";"32356";"3";"NOUN<CAS<SBL>>";"NOUN";"cvccvcccv"
"modellben";"modell";"1844";"65382";"3";"NOUN<CAS<INE>>";"NOUN";"cvcvcccvc"
"tárgyévben";"tárgyév";"1765";"8466";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvccvc"
"táppénzre";"táppénz";"1495";"7820";"3";"NOUN<CAS<SBL>>";"NOUN";"cvccvcccv"
"sorrendbe";"sorrend";"1453";"34853";"3";"NOUN<CAS<ILL>>";"NOUN";"cvccvcccv"
"hangnemben";"hangnem";"1402";"5591";"3";"NOUN<CAS<INE>>";"NOUN";"cvcccvccvc"
"szomszédban";"szomszéd";"1386";"37057";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvccvc"
"Hotelben";"hotel";"1378";"12528";"3";"NOUN<CAS<INE>>";"NOUN";"cvcvccvc"
"modellnek";"modell";"1297";"65382";"3";"NOUN<CAS<DAT>>";"NOUN";"cvcvcccvc"
"projektnek";"projekt";"1291";"71088";"3";"NOUN<CAS<DAT>>";"NOUN";"ccvcvcccvc"
"napfényben";"napfény";"1176";"9109";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvccvc"
"pótlékra";"pótlék";"1111";"16182";"3";"NOUN<CAS<SBL>>";"NOUN";"cvccvccv"
"módszerre";"módszer";"1046";"160008";"3";"NOUN<CAS<SBL>>";"NOUN";"cvccvccv"
"Mózesnek";"Mózes";"936";"10385";"3";"NOUN<CAS<DAT>>";"NOUN";"cvcvccvc"
"projektre";"projekt";"881";"71088";"3";"NOUN<CAS<SBL>>";"NOUN";"ccvcvcccv"
"tanszékre";"tanszék";"843";"42194";"3";"NOUN<CAS<SBL>>";"NOUN";"cvccvccv"
"gyógyszernek";"gyógyszer";"794";"46108";"3";"NOUN<CAS<DAT>>";"NOUN";"cvccvccvc"
"szomszédba";"szomszéd";"791";"37057";"3";"NOUN<CAS<ILL>>";"NOUN";"cvccvccv"
"gyógyszerre";"gyógyszer";"764";"46108";"3";"NOUN<CAS<SBL>>";"NOUN";"cvccvccv"
"partnerre";"partner";"746";"114379";"3";"NOUN<CAS<SBL>>";"NOUN";"cvcccvccv"
"modellre";"modell";"671";"65382";"3";"NOUN<CAS<SBL>>";"NOUN";"cvcvcccv"
"tárgyévre";"tárgyév";"669";"8466";"3";"NOUN<CAS<SBL>>";"NOUN";"cvccvccv"
"napfényre";"napfény";"665";"9109";"3";"NOUN<CAS<SBL>>";"NOUN";"cvccvccv"
"háttérre";"háttér";"660";"74338";"3";"NOUN<CAS<SBL>>";"NOUN";"cvccvccv"
"faképnél";"fakép";"650";"669";"3";"NOUN<CAS<ADE>>";"NOUN";"cvcvccvc"
"szoftverre";"szoftver";"647";"71251";"3";"NOUN<CAS<SBL>>";"NOUN";"cvcccvccv"
"kastélyba";"kastély";"635";"19527";"3";"NOUN<CAS<ILL>>";"NOUN";"cvccvccv"
"jólétben";"jólét";"572";"10658";"3";"NOUN<CAS<INE>>";"NOUN";"cvcvccvc"
"szándéknak";"szándék";"557";"79750";"3";"NOUN<CAS<DAT>>";"NOUN";"cvccvccvc"
"húsvétra";"húsvét";"554";"9116";"3";"NOUN<CAS<SBL>>";"NOUN";"cvccvccv"
"korrektnek";"korrekt";"554";"47267";"3";"ADJ<CAS<DAT>>";"ADJ";"cvccvcccvc"
"tányérra";"tányér";"546";"7677";"3";"NOUN<CAS<SBL>>";"NOUN";"cvcvccv"
"fazékba";"fazék";"535";"2918";"3";"NOUN<CAS<ILL>>";"NOUN";"cvcvccv"
"kódexben";"kódex";"512";"8626";"3";"NOUN<CAS<INE>>";"NOUN";"cvcvccvc"
"dzsungelben";"dzsungel";"504";"3128";"3";"NOUN<CAS<INE>>";"NOUN";"ccvccvccvc"
"modernnek";"modern";"476";"68239";"3";"ADJ<CAS<DAT>>";"ADJ";"cvcvcccvc"
"konventben";"konvent";"467";"4400";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvcccvc"
"módszernél";"módszer";"461";"160008";"3";"NOUN<CAS<ADE>>";"NOUN";"cvccvccvc"
"projektbe";"projekt";"453";"71088";"3";"NOUN<CAS<ILL>>";"NOUN";"ccvcvcccv"
"holdfényben";"holdfény";"434";"1150";"3";"NOUN<CAS<INE>>";"NOUN";"cvcccvccvc"
"tanszéknek";"tanszék";"430";"42194";"3";"NOUN<CAS<DAT>>";"NOUN";"cvccvccvc"
"hotelban";"hotel";"427";"12528";"3";"NOUN<CAS<INE>>";"NOUN";"cvcvccvc"
"jókedvre";"jókedv";"427";"5987";"3";"NOUN<CAS<SBL>>";"NOUN";"cvcvcccv"
"pótlékban";"pótlék";"427";"16182";"3";"NOUN<CAS<INE>>";"NOUN";"cvccvccvc"
