a_form	a_freq	lemma	lemma_freq	corpus_size	xpostag	e_form	e_freq	a_e_odds	a_e_log_odds
játékban	203167	játék	3685489	8570080167	[/N][Ine]	játékben	99	2031.68	7.616618315982085
játékra	87601	játék	3685489	8570080167	[/N][Subl]	játékre	24	3504.08	8.161683282845885
játékba	60196	játék	3685489	8570080167	[/N][Ill]	játékbe	10	5472.454545454545	8.607482523369749
játéknak	57218	játék	3685489	8570080167	[/N][Dat]	játéknek	10	5201.727272727273	8.556746017246166
kastélyban	33676	kastély	320792	8570080167	[/N][Ine]	kastélyben	13	2405.5	7.7855130611395085
szomszédban	23555	szomszéd	463192	8570080167	[/N][Ine]	szomszédben	26	872.4444444444445	6.771298978060132
tányérra	22065	tányér	157436	8570080167	[/N][Subl]	tányérre	25	848.6923076923077	6.743696703298769
árnyékban	21244	árnyék	251729	8570080167	[/N][Ine]	árnyékben	43	482.84090909090907	6.179687218630651
húsvétra	18684	húsvét	195283	8570080167	[/N][Subl]	húsvétre	12	1437.3076923076924	7.270526984458048
szomszédba	13246	szomszéd	463192	8570080167	[/N][Ill]	szomszédbe	3	3311.75	8.105232029564371
pótlékra	13158	pótlék	138201	8570080167	[/N][Subl]	pótlékre	1	6579.5	8.791714033590194
játéknál	12208	játék	3685489	8570080167	[/N][Ade]	játéknél	14	813.9333333333333	6.701878462566645
fazékba	10788	fazék	47132	8570080167	[/N][Ill]	fazékbe	3	2697.25	7.899988014431449
fazékban	9920	fazék	47132	8570080167	[/N][Ine]	fazékben	23	413.375	6.0243551713019565
árnyékba	8169	árnyék	251729	8570080167	[/N][Ill]	árnyékbe	4	1634	7.3987862754199485
szomszédnak	6602	szomszéd	463192	8570080167	[/N][Dat]	szomszédnek	2	2201	7.696667081526462
tányérba	6270	tányér	157436	8570080167	[/N][Ill]	tányérbe	8	696.7777777777778	6.546466533206802
szándéknak	6201	szándék	734342	8570080167	[/N][Dat]	szándéknek	1	3101	8.03947991910045
panelban	4832	panel	223571	8570080167	[/N][Ine]	panelben	4651	1.0389079965606192	0.038170158206529095
poénnak	4075	poén	131624	8570080167	[/N][Dat]	poénnek	15	254.75	5.540282672102834
fotelban	4069	fotel	70961	8570080167	[/N][Ine]	fotelben	8185	0.4971903249450281	-0.6987823786157077
hotelban	4069	hotel	789022	8570080167	[/N][Ine]	hotelben	57356	0.0709590808445351	-2.6456518942138727
szándékra	3820	szándék	734342	8570080167	[/N][Subl]	szándékre	1	1910.5	7.555120266886955
pótlékban	3549	pótlék	138201	8570080167	[/N][Ine]	pótlékben	10	322.72727272727275	5.776807609671091
kastélynak	3275	kastély	320792	8570080167	[/N][Dat]	kastélynek	1	1638	7.401231264413015
havernak	3259	haver	165801	8570080167	[/N][Dat]	havernek	161	20.123456790123456	3.001886139128369
fotelba	3232	fotel	70961	8570080167	[/N][Ill]	fotelbe	3212	1.006224712107065	0.006205418609574675
tányérban	2603	tányér	157436	8570080167	[/N][Ine]	tányérben	1	1302	7.171656822768514
páncélba	2586	páncél	48853	8570080167	[/N][Ill]	páncélbe	2	862.3333333333334	6.7596418935179194
farmerban	2327	farmer	82647	8570080167	[/N][Ine]	farmerben	3390	0.6865231495134179	-0.3761153332743102
honvédban	2305	honvéd	186978	8570080167	[/N][Ine]	honvédben	125	18.3015873015873	2.9069877938775264
honvédnak	2175	honvéd	186978	8570080167	[/N][Dat]	honvédnek	750	2.8974700399467377	1.0638379562116984
poénra	2084	poén	131624	8570080167	[/N][Subl]	poénre	14	139	4.9344739331306915
páncélban	2025	páncél	48853	8570080167	[/N][Ine]	páncélben	2	675.3333333333334	6.515206396140519
árnyékra	1715	árnyék	251729	8570080167	[/N][Subl]	árnyékre	1	858	6.754604099487962
acélra	1651	acél	172196	8570080167	[/N][Subl]	acélre	2	550.6666666666666	6.311129665412814
hotelba	1640	hotel	789022	8570080167	[/N][Ill]	hotelbe	10613	0.1546071226681741	-1.8668680722977493
honvédnál	1592	honvéd	186978	8570080167	[/N][Ade]	honvédnél	116	13.615384615384615	2.6112003751122925
szomszédnál	1446	szomszéd	463192	8570080167	[/N][Ade]	szomszédnél	1	723.5	6.5841005460715385
panelba	1393	panel	223571	8570080167	[/N][Ill]	panelbe	1112	1.252470799640611	0.22511824004492442
