form_1	freq_1	stem	xpostag	variation	lemma_freq_corrected	corpus_size	form_2	freq_2	odds	log_odds
ábrándozok	284	ábrándozo	[/V][Prs.NDef.1Sg]	lakom/lakok	18385	8570080167	ábrándozom	610	0.4664484451718494	-0.7626077789029448
adakozok	180	adakozo	[/V][Prs.NDef.1Sg]	lakom/lakok	17936	8570080167	adakozom	168	1.0710059171597632	0.0685983163427522
adaptálódok	10	adaptálódo	[/V][Prs.NDef.1Sg]	lakom/lakok	4014	8570080167	adaptálódom	7	1.375	0.3184537311185346
adódok	24	adódo	[/V][Prs.NDef.1Sg]	lakom/lakok	313753	8570080167	adódom	5	4.166666666666667	1.4271163556401458
adósodok	2	adósodo	[/V][Prs.NDef.1Sg]	lakom/lakok	5682	8570080167	adósodom	2	1	0
ágaskodok	8	ágaskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	5740	8570080167	ágaskodom	26	0.3333333333333333	-1.0986122886681098
aggályoskodok	4	aggályoskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	683	8570080167	aggályoskodom	18	0.2631578947368421	-1.3350010667323402
aggodalmaskodok	60	aggodalmaskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	9029	8570080167	aggodalmaskodom	185	0.3279569892473118	-1.11487280953989
aggódok	4074	aggódo	[/V][Prs.NDef.1Sg]	lakom/lakok	341034	8570080167	aggódom	20869	0.19525634882606613	-1.6334419743962834
áhítozok	74	áhítozo	[/V][Prs.NDef.1Sg]	lakom/lakok	9214	8570080167	áhítozom	551	0.1358695652173913	-1.9960599327407849
ajánlkozok	7	ajánlkozo	[/V][Prs.NDef.1Sg]	lakom/lakok	4605	8570080167	ajánlkozom	71	0.1111111111111111	-2.1972245773362196
ájtatoskodok	2	ájtatoskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	525	8570080167	ájtatoskodom	1	1.5	0.4054651081081644
akadékoskodok	102	akadékoskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	3726	8570080167	akadékoskodom	88	1.1573033707865168	0.14609261849749589
akaratoskodok	1	akaratoskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	199	8570080167	akaratoskodom	4	0.4	-0.916290731874155
akaszkodok	11	akaszkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	2721	8570080167	akaszkodom	29	0.4	-0.916290731874155
akklimatizálódok	6	akklimatizálódo	[/V][Prs.NDef.1Sg]	lakom/lakok	2558	8570080167	akklimatizálódom	21	0.3181818181818182	-1.1451323043030026
aktiválódok	4	aktiválódo	[/V][Prs.NDef.1Sg]	lakom/lakok	26386	8570080167	aktiválódom	1	2.5	0.9162907318741551
alacsonyodok	52	alacsonyodo	[/V][Prs.NDef.1Sg]	lakom/lakok	1870	8570080167	alacsonyodom	31	1.65625	0.5045560107523953
alakoskodok	17	alakoskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	1461	8570080167	alakoskodom	16	1.0588235294117647	0.05715841383994862
alázkodok	24	alázkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	1842	8570080167	alázkodom	46	0.5319148936170213	-0.6312717768418579
aljaskodok	4	aljaskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	150	8570080167	aljaskodom	1	2.5	0.9162907318741551
aljasodok	5	aljasodo	[/V][Prs.NDef.1Sg]	lakom/lakok	367	8570080167	aljasodom	1	3	1.0986122886681098
alkalmatlankodok	8	alkalmatlankodo	[/V][Prs.NDef.1Sg]	lakom/lakok	918	8570080167	alkalmatlankodom	71	0.125	-2.0794415416798357
alkalmazkodok	406	alkalmazkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	223170	8570080167	alkalmazkodom	1271	0.3199685534591195	-1.1395325584574725
alkudok	28	alkudo	[/V][Prs.NDef.1Sg]	lakom/lakok	17918	8570080167	alkudom	2	9.666666666666666	2.268683541318364
alkudozok	131	alkudozo	[/V][Prs.NDef.1Sg]	lakom/lakok	14494	8570080167	alkudozom	234	0.5617021276595745	-0.576783591557788
alkuszok	2	alkuszo	[/V][Prs.NDef.1Sg]	lakom/lakok	17918	8570080167	alkuszom	229	0.013043478260869565	-4.339467020255086
állomásozok	10	állomásozo	[/V][Prs.NDef.1Sg]	lakom/lakok	17398	8570080167	állomásozom	33	0.3235294117647059	-1.128465251817791
álmélkodok	19	álmélkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	5761	8570080167	álmélkodom	81	0.24390243902439024	-1.410986973710262
álmodok	3404	álmodo	[/V][Prs.NDef.1Sg]	lakom/lakok	223489	8570080167	álmodom	12045	0.28266644529304336	-1.2634877150200536
álmodozok	532	álmodozo	[/V][Prs.NDef.1Sg]	lakom/lakok	59984	8570080167	álmodozom	2628	0.20273868391023203	-1.5958374005640366
álmosodok	29	álmosodo	[/V][Prs.NDef.1Sg]	lakom/lakok	1357	8570080167	álmosodom	53	0.5555555555555556	-0.587786664902119
álszenteskedek	18	álszenteskede	[/V][Prs.NDef.1Sg]	lakom/lakok	511	8570080167	álszenteskedem	4	3.8	1.33500106673234
alszok	4196	alszo	[/V][Prs.NDef.1Sg]	lakom/lakok	668614	8570080167	alszom	31548	0.13303115788139086	-2.0171719084123705
aluszok	12	aluszo	[/V][Prs.NDef.1Sg]	lakom/lakok	668614	8570080167	aluszom	80	0.16049382716049382	-1.8294997972109022
amerikanizálódok	1	amerikanizálódo	[/V][Prs.NDef.1Sg]	lakom/lakok	270	8570080167	amerikanizálódom	1	1	0
amortizálódok	2	amortizálódo	[/V][Prs.NDef.1Sg]	lakom/lakok	3122	8570080167	amortizálódom	1	1.5	0.4054651081081644
ámuldozok	55	ámuldozo	[/V][Prs.NDef.1Sg]	lakom/lakok	3333	8570080167	ámuldozom	47	1.1666666666666667	0.15415067982725836
andalodok	8	andalodo	[/V][Prs.NDef.1Sg]	lakom/lakok	304	8570080167	andalodom	1	4.5	1.5040773967762742
anekdotázok	16	anekdotázo	[/V][Prs.NDef.1Sg]	lakom/lakok	1972	8570080167	anekdotázom	10	1.5454545454545454	0.4353180712578455
anyáskodok	7	anyáskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	1025	8570080167	anyáskodom	12	0.6153846153846154	-0.48550781578170077
apostolkodok	2	apostolkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	686	8570080167	apostolkodom	1	1.5	0.4054651081081644
ármánykodok	2	ármánykodo	[/V][Prs.NDef.1Sg]	lakom/lakok	992	8570080167	ármánykodom	1	1.5	0.4054651081081644
árulkodok	29	árulkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	62655	8570080167	árulkodom	25	1.1538461538461537	0.14310084364067324
