syl_pos	string
word_start	v
word_end	n
word_mid	v
word_start	k
word_mid	k
word_start	l
word_end	sz
word_mid	l
word_start	n
word_mid	n
word_start	f
word_end	g
word_mid	f
word_start	k
word_end	l
word_mid	k
word_mid	r
word_start	t
word_end	d
word_mid	t
word_start	j
word_end	nt
word_mid	j
word_mid	l
word_end	d
word_start	t
word_end	k
word_mid	t
word_mid	rt
word_mid	n
word_start	j
word_end	n
word_mid	j
word_start	j
word_end	r
word_mid	j
word_start	m
word_end	gy
word_mid	m
word_start	m
word_end	k
word_mid	m
word_mid	k
word_mid	d
word_start	m
word_end	d
word_mid	m
word_mid	r
word_start	sz
word_end	l
word_mid	sz
word_start	t
word_end	rt
word_mid	t
word_start	t
word_end	k
word_mid	t
word_mid	n
word_end	r
word_mid	k
word_start	t
word_end	k
word_mid	t
word_mid	rt
word_mid	z
word_start	v
word_end	k
word_mid	v
word_mid	l
word_start	t
word_end	sz
word_mid	t
word_start	k
word_end	p
word_mid	k
word_start	t
word_end	z
word_mid	t
word_mid	rt
word_mid	lm
word_end	l
word_start	s
word_mid	s
word_start	s
word_end	t
word_mid	s
word_mid	g
word_end	jt
word_mid	ny
word_start	sz
word_end	l
word_mid	sz
word_mid	r
word_mid	p
word_start	l
word_end	k
word_mid	l
word_mid	tsz
word_start	sz
word_end	t
word_mid	sz
word_mid	m
word_start	j
word_end	t
word_mid	j
word_start	v
word_end	sz
word_mid	v
word_start	l
word_end	k
word_mid	l
word_mid	t
word_mid	z
word_start	sz
word_end	d
word_mid	sz
word_mid	b
word_start	b
word_end	t
word_mid	b
word_mid	zt
word_mid	s
word_start	k
word_end	l
word_mid	k
word_mid	sz
word_end	l
word_mid	nd
word_start	d
word_end	k
word_mid	d
word_mid	lg
word_mid	z
word_start	v
word_end	t
word_mid	v
word_mid	z
word_start	t
word_end	k
word_mid	t
word_mid	tsz
word_end	r
word_start	l
word_end	p
word_mid	l
word_start	m
word_end	n
word_mid	m
word_mid	gv
word_start	f
word_mid	f
word_start	k
