syl_pos	string
word_end	v
word_end	r
word_mid	mb
word_start	m
word_end	r
word_mid	m
word_mid	gy
word_start	t
word_end	ny
word_mid	t
word_mid	rv
word_start	pr
word_end	m
word_mid	pr
word_mid	gr
word_start	sz
word_mid	sz
word_start	v
word_mid	v
word_mid	r
word_start	n
word_end	p
word_mid	n
word_mid	d
word_start	r
word_end	r
word_mid	r
word_start	v
word_end	g
word_mid	v
word_mid	l
word_mid	sk
word_end	n
word_mid	st
word_mid	r
word_start	sz
word_end	t
word_mid	sz
word_mid	rv
word_end	g
word_start	sz
word_end	g
word_mid	sz
word_mid	ks
word_start	m
word_mid	m
word_end	t
word_start	t
word_end	k
word_mid	t
word_mid	rm
word_start	j
word_end	r
word_mid	j
word_mid	n
word_start	l
word_end	g
word_mid	l
word_end	r
word_mid	kt
word_start	m
word_mid	m
word_mid	nk
word_end	t
word_mid	l
word_start	m
word_mid	m
word_mid	j
word_start	d
word_end	g
word_mid	d
word_mid	l
word_end	m
word_mid	gy
word_start	k
word_end	ny
word_mid	k
word_mid	rm
word_end	d
word_mid	l
word_start	p
word_mid	p
word_start	f
word_mid	f
word_mid	rf
word_start	n
word_end	r
word_mid	n
word_mid	v
word_start	r
word_end	t
word_mid	r
word_mid	nd
word_start	sz
word_mid	sz
word_mid	rz
word_start	k
word_mid	k
word_mid	rd
word_end	g
word_start	f
word_end	nt
word_mid	f
word_mid	r
word_start	v
word_mid	v
word_mid	l
word_start	sz
word_mid	sz
word_mid	m
word_start	b
word_end	g
word_mid	b
word_mid	z
word_end	t
word_mid	p
word_start	d
word_end	r
word_mid	d
word_start	j
word_mid	j
word_mid	n
word_mid	pr
word_start	s
word_end	r
word_mid	s
word_start	p
word_end	nt
word_mid	p
word_end	l
word_mid	ld
word_end	t
word_mid	gy
word_start	f
word_end	r
word_mid	f
word_mid	br
word_start	sz
word_end	m
word_mid	sz
word_end	k
word_mid	gy
word_mid	rm
word_start	v
word_end	z
word_mid	v
word_start	j
word_end	k
word_mid	j
word_mid	t
